Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-05 16:00:00-05:00,,,
2024-02-05 05:00:00-05:00,,,
2023-11-06 05:00:00-05:00,,,
2023-08-07 06:00:00-04:00,,,
2023-05-15 06:00:00-04:00,0.68,,
2023-02-06 11:00:00-05:00,0.87,0.86,-0.0138
2022-11-07 11:00:00-05:00,1.37,1.3,-0.053899999999999997
2022-08-08 12:00:00-04:00,0.86,0.74,-0.1345
2022-05-16 12:00:00-04:00,1.04,1.09,0.0481
2022-02-07 11:00:00-05:00,1.22,1.32,0.0793
2021-11-03 12:00:00-04:00,1.34,1.63,0.21550000000000002
2021-08-02 12:00:00-04:00,0.89,1.01,0.131
