Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-14 08:00:00-05:00,,,
2023-10-31 08:00:00-04:00,,,
2023-08-02 08:00:00-04:00,,,
2023-05-02 08:00:00-04:00,0.64,,
2023-02-16 02:00:00-05:00,1.26,1.08,-0.1429
2022-11-02 03:00:00-04:00,1.7,1.78,0.0458
2022-08-04 03:00:00-04:00,1.69,1.53,-0.09519999999999999
2022-05-04 03:00:00-04:00,0.62,0.73,0.17550000000000002
2022-02-16 02:00:00-05:00,1.16,1.25,0.0767
2021-11-04 03:00:00-04:00,1.65,1.54,-0.0684
2021-08-04 03:00:00-04:00,1.66,1.57,-0.0514
2021-05-04 03:00:00-04:00,0.45,0.69,0.5197999999999999
