Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-07 16:00:00-05:00,,,
2023-10-25 16:00:00-04:00,,,
2023-07-26 06:00:00-04:00,,,
2023-04-26 06:00:00-04:00,1.67,,
2023-02-09 11:00:00-05:00,1.61,1.7,0.053899999999999997
2022-10-27 12:00:00-04:00,1.54,1.58,0.026000000000000002
2022-07-28 12:00:00-04:00,1.52,1.54,0.013200000000000002
2022-04-28 12:00:00-04:00,1.45,1.43,-0.0138
2022-02-10 11:00:00-05:00,1.41,1.48,0.0496
2021-10-28 12:00:00-04:00,1.37,1.4,0.0256
2021-07-22 12:00:00-04:00,1.33,1.31,-0.015
2021-04-22 12:00:00-04:00,1.3,1.33,0.023100000000000002
