Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-07 16:00:00-05:00,,,
2024-02-07 05:00:00-05:00,,,
2023-11-01 06:00:00-04:00,,,
2023-08-02 06:00:00-04:00,,,
2023-05-03 06:00:00-04:00,-0.08,,
2023-02-10 10:00:00-05:00,,-0.11,
2023-02-09 11:00:00-05:00,,-0.11,-109.0
2022-11-03 12:00:00-04:00,0.02,,-0.875
2022-08-04 12:00:00-04:00,0.01,-0.11,-12.0
2022-05-05 13:00:00-04:00,-0.01,0.1,10.090900000000001
2022-02-17 11:00:00-05:00,-0.03,-0.1,-2.3333000000000004
2021-11-05 02:00:00-04:00,0.05,0.16,2.5556
