Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-21 16:00:00-05:00,,,
2024-02-21 05:00:00-05:00,,,
2023-11-01 06:00:00-04:00,,,
2023-08-02 06:00:00-04:00,,,
2023-04-24 07:00:00-04:00,,,
2023-02-23 11:00:00-05:00,-0.2,-0.86,-3.1951
2022-11-03 12:00:00-04:00,-0.21,-0.95,-3.5238
2022-08-04 12:00:00-04:00,0.02,-0.94,-45.7619
2022-04-26 03:00:00-04:00,0.04,0.69,16.25
2022-02-24 02:00:00-05:00,0.83,0.08,-0.9035
2021-11-03 03:00:00-04:00,0.41,0.24,-0.40890000000000004
2021-08-03 03:00:00-04:00,0.86,0.89,0.0349
