Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-01-30 08:00:00-05:00,,,
2024-01-29 16:00:00-05:00,,,
2023-10-24 08:00:00-04:00,,,
2023-07-25 08:00:00-04:00,,,
2023-04-27 10:00:00-04:00,1.29,,
2023-04-26 16:00:00-04:00,1.29,,
2023-02-01 10:00:00-05:00,1.41,1.3,-0.078
2023-01-31 19:00:00-05:00,1.41,1.3,-0.078
2023-01-31 14:00:00-05:00,1.41,1.3,-0.0767
2022-10-26 03:00:00-04:00,1.51,1.56,0.032400000000000005
2022-07-27 03:00:00-04:00,1.4,1.44,0.0278
2022-04-26 03:00:00-04:00,1.14,1.29,0.1326
