Open,High,Low,Close,Adj Close,Volume,ticker
22.0,23.25,20.75,21.125,21.125,2294100,REGN
21.25,21.25,17.0,18.25,18.25,1716100,REGN
18.25,19.5,17.75,18.0,18.0,810600,REGN
18.5,18.5,17.75,17.75,17.75,238200,REGN
18.0,18.0,17.5,17.625,17.625,200100,REGN
18.0,18.0,16.0,16.0,16.0,319000,REGN
16.0,16.25,15.5,15.875,15.875,582100,REGN
16.0,16.5,14.75,14.75,14.75,319400,REGN
14.75,16.5,14.75,16.25,16.25,329700,REGN
16.5,16.75,16.0,16.125,16.125,171400,REGN
16.375,16.375,16.0,16.125,16.125,130500,REGN
16.375,16.375,15.25,15.25,15.25,187600,REGN
15.5,15.5,14.5,15.25,15.25,320300,REGN
15.25,15.25,14.625,14.875,14.875,68900,REGN
14.875,14.875,14.125,14.125,14.125,79000,REGN
14.125,14.75,14.125,14.25,14.25,335000,REGN
14.625,14.75,14.375,14.75,14.75,90500,REGN
14.375,14.75,14.375,14.5,14.5,115400,REGN
14.5,14.5,14.0,14.375,14.375,122600,REGN
14.375,14.375,12.375,12.5,12.5,183700,REGN
13.0,13.0,12.0,12.625,12.625,330000,REGN
12.75,13.875,12.5,13.5,13.5,237800,REGN
14.0,14.125,13.25,13.5,13.5,153900,REGN
13.25,13.625,13.0,13.375,13.375,65300,REGN
13.375,13.625,12.75,13.625,13.625,163700,REGN
13.875,14.125,13.375,13.375,13.375,146100,REGN
14.0,14.125,13.25,13.25,13.25,162600,REGN
13.625,13.625,13.25,13.625,13.625,25700,REGN
13.25,13.625,12.75,12.75,12.75,125200,REGN
13.0,13.0,11.375,11.5,11.5,137900,REGN
11.75,12.125,11.5,11.875,11.875,173200,REGN
12.125,12.125,10.25,10.75,10.75,186200,REGN
10.75,11.5,10.375,11.25,11.25,230000,REGN
11.625,12.125,11.125,11.75,11.75,75000,REGN
11.75,11.875,11.0,11.375,11.375,83000,REGN
11.375,12.25,11.25,12.25,12.25,139700,REGN
11.875,12.375,11.625,12.125,12.125,184200,REGN
12.5,12.75,11.875,11.875,11.875,135900,REGN
11.875,12.25,11.875,12.25,12.25,14600,REGN
12.25,12.25,11.875,12.0,12.0,16900,REGN
12.0,12.75,12.0,12.625,12.625,245700,REGN
12.875,13.25,12.125,12.25,12.25,253200,REGN
12.5,12.5,12.125,12.25,12.25,85200,REGN
12.5,12.5,11.5,11.75,11.75,102400,REGN
12.0,12.125,11.625,12.125,12.125,59800,REGN
12.125,12.125,11.875,11.875,11.875,48900,REGN
11.875,12.125,11.875,11.875,11.875,13200,REGN
12.125,12.125,11.5,11.625,11.625,32500,REGN
11.5,11.875,11.125,11.625,11.625,69400,REGN
11.625,11.625,11.125,11.625,11.625,26800,REGN
11.5,11.5,10.75,11.0,11.0,113400,REGN
11.0,11.0,10.25,10.375,10.375,59600,REGN
10.75,11.0,10.375,11.0,11.0,152800,REGN
10.875,11.25,10.875,10.875,10.875,20400,REGN
10.875,11.5,10.875,11.25,11.25,130100,REGN
11.5,11.5,11.25,11.5,11.5,27700,REGN
11.5,12.0,11.0,12.0,12.0,58900,REGN
12.0,12.25,11.75,12.0,12.0,48200,REGN
11.75,12.0,11.0,11.5,11.5,78300,REGN
11.0,11.5,11.0,11.125,11.125,48000,REGN
11.0,11.25,11.0,11.0,11.0,91800,REGN
11.25,11.25,11.0,11.25,11.25,16200,REGN
11.0,11.25,10.75,11.125,11.125,59700,REGN
10.75,11.125,10.75,11.125,11.125,15900,REGN
11.125,11.125,10.375,10.625,10.625,43900,REGN
10.75,10.75,10.375,10.5,10.5,38200,REGN
10.375,10.75,10.25,10.25,10.25,43900,REGN
10.0,10.5,9.875,10.25,10.25,44400,REGN
10.0,10.875,10.0,10.75,10.75,45100,REGN
10.5,11.0,10.5,10.5,10.5,11500,REGN
10.5,11.0,10.5,10.875,10.875,15400,REGN
10.875,10.875,10.5,10.5,10.5,40600,REGN
10.5,11.25,10.5,11.25,11.25,36800,REGN
11.5,11.5,10.5,10.75,10.75,39000,REGN
10.5,10.875,10.5,10.75,10.75,47500,REGN
10.75,11.0,10.625,11.0,11.0,38400,REGN
10.625,11.0,10.625,11.0,11.0,14300,REGN
11.0,11.0,10.5,10.5,10.5,68700,REGN
10.5,10.875,10.25,10.5,10.5,9700,REGN
10.75,10.75,10.25,10.25,10.25,14400,REGN
10.25,10.75,9.75,9.875,9.875,50400,REGN
10.125,10.25,9.75,10.25,10.25,16200,REGN
10.25,10.25,9.875,10.25,10.25,4400,REGN
10.25,10.625,10.0,10.625,10.625,108100,REGN
10.875,12.0,10.75,11.5,11.5,83200,REGN
11.625,11.75,11.25,11.25,11.25,28400,REGN
11.5,11.5,11.25,11.25,11.25,17600,REGN
11.375,11.5,11.25,11.5,11.5,3700,REGN
