Date,Open,High,Low,Close,Adj Close,Volume,ticker
1988-06-22,0.0,4.75,4.625,4.625,2.685804843902588,18200,WM
1988-06-23,0.0,4.5,4.25,4.25,2.468036413192749,51100,WM
1988-06-24,0.0,4.375,4.375,4.375,2.540626049041748,11800,WM
1988-06-27,0.0,4.375,4.25,4.25,2.468036413192749,13200,WM
1988-06-28,0.0,4.25,4.0,4.0,2.3228580951690674,16200,WM
1988-06-29,0.0,4.25,4.125,4.125,2.3954474925994873,8900,WM
1988-06-30,0.0,4.5,4.375,4.375,2.540626049041748,47300,WM
1988-07-01,0.0,4.875,4.75,4.75,2.7583932876586914,29100,WM
1988-07-05,0.0,4.875,4.625,4.625,2.685804843902588,14000,WM
1988-07-06,0.0,4.625,4.5,4.5,2.613215446472168,20000,WM
1988-07-07,0.0,4.625,4.5,4.5,2.613215446472168,6900,WM
1988-07-08,0.0,4.5,4.375,4.375,2.540626049041748,9300,WM
1988-07-11,0.0,4.5,4.375,4.375,2.540626049041748,31400,WM
1988-07-12,0.0,4.625,4.375,4.375,2.540626049041748,3600,WM
1988-07-13,0.0,4.625,4.5,4.5,2.613215446472168,2800,WM
1988-07-14,0.0,4.625,4.375,4.375,2.540626049041748,26400,WM
1988-07-15,0.0,4.625,4.375,4.375,2.540626049041748,13000,WM
1988-07-18,0.0,4.5,4.25,4.25,2.468036413192749,10500,WM
1988-07-19,0.0,4.375,4.125,4.125,2.3954474925994873,7500,WM
1988-07-20,0.0,4.125,3.875,3.875,2.2502689361572266,31400,WM
1988-07-21,0.0,4.125,4.0,4.0,2.3228580951690674,13200,WM
1988-07-22,0.0,4.125,3.875,3.875,2.2502689361572266,21100,WM
1988-07-25,0.0,4.125,3.875,3.875,2.2502689361572266,2000,WM
1988-07-26,0.0,4.0,3.875,3.875,2.2502689361572266,26900,WM
1988-07-27,0.0,4.0,3.875,3.875,2.2502689361572266,1900,WM
1988-07-28,0.0,4.0,3.875,3.875,2.2502689361572266,10300,WM
1988-07-29,0.0,4.0,3.875,3.875,2.2502689361572266,14200,WM
1988-08-01,0.0,4.125,4.0,4.0,2.3228580951690674,19700,WM
