,0
2022-02-04 00:00:00-05:00,652131968
2022-02-11 00:00:00-05:00,652131968
2022-02-25 00:00:00-05:00,649860992
2022-03-21 00:00:00-04:00,649368000
2022-05-02 00:00:00-04:00,645348992
2022-05-04 00:00:00-04:00,644164992
2022-06-11 00:00:00-04:00,644164992
2022-06-11 00:00:00-04:00,665008000
2022-08-05 00:00:00-04:00,634526016
2022-08-06 00:00:00-04:00,631916032
2022-08-25 00:00:00-04:00,632326976
2022-08-26 00:00:00-04:00,631916032
2022-09-01 00:00:00-04:00,631916032
2022-09-02 00:00:00-04:00,631916032
2022-09-02 00:00:00-04:00,630854976
2022-09-10 00:00:00-04:00,629772032
2022-09-12 00:00:00-04:00,631916032
2022-10-13 00:00:00-04:00,639510976
2022-10-14 00:00:00-04:00,631916032
2022-11-05 00:00:00-04:00,621788992
2023-02-08 00:00:00-05:00,615256000
2023-03-01 00:00:00-05:00,612209024
2023-03-07 00:00:00-05:00,612209024
2023-03-07 00:00:00-05:00,614182976
2023-03-08 00:00:00-05:00,612209024
2023-03-08 00:00:00-05:00,622798976
2023-03-18 00:00:00-04:00,624094976
2023-03-21 00:00:00-04:00,611708032
2023-03-30 00:00:00-04:00,618734016
