,0
2022-02-04 00:00:00-05:00,57423400
2022-02-05 00:00:00-05:00,56976700
2022-02-10 00:00:00-05:00,55228200
2022-02-11 00:00:00-05:00,55228200
2022-02-15 00:00:00-05:00,56976700
2022-02-24 00:00:00-05:00,55228200
2022-02-25 00:00:00-05:00,55161600
2022-03-24 00:00:00-04:00,57708400
2022-04-27 00:00:00-04:00,58416900
2022-04-27 00:00:00-04:00,57708400
2022-05-10 00:00:00-04:00,54085100
2022-05-27 00:00:00-04:00,54451600
2022-05-29 00:00:00-04:00,54085100
2022-06-23 00:00:00-04:00,54236700
2022-06-23 00:00:00-04:00,54085100
2022-08-04 00:00:00-04:00,60216600
2022-08-07 00:00:00-04:00,54085100
2022-08-09 00:00:00-04:00,53209300
2022-09-02 00:00:00-04:00,53209300
2022-09-10 00:00:00-04:00,53443400
2022-09-12 00:00:00-04:00,53209300
2022-10-04 00:00:00-04:00,51641600
2022-10-05 00:00:00-04:00,53209300
2022-10-18 00:00:00-04:00,51744900
2022-10-18 00:00:00-04:00,53209300
2022-10-21 00:00:00-04:00,55659200
2022-10-22 00:00:00-04:00,53209300
2022-11-02 00:00:00-04:00,53667500
2022-11-05 00:00:00-04:00,53209300
2022-11-08 00:00:00-05:00,53425300
2022-11-09 00:00:00-05:00,52831400
2022-11-24 00:00:00-05:00,52889700
2022-11-25 00:00:00-05:00,52831400
2022-12-21 00:00:00-05:00,53221000
2022-12-21 00:00:00-05:00,52831400
2023-02-21 00:00:00-05:00,52919700
2023-03-03 00:00:00-05:00,52919700
2023-03-03 00:00:00-05:00,53188900
2023-03-07 00:00:00-05:00,52919700
2023-03-07 00:00:00-05:00,53921900
2023-03-18 00:00:00-04:00,55971300
2023-03-21 00:00:00-04:00,52919700
2023-03-25 00:00:00-04:00,52920900
2023-03-30 00:00:00-04:00,53854900
