,0
2022-02-11 00:00:00-05:00,78853104
2022-03-01 00:00:00-05:00,78795504
2022-03-15 00:00:00-04:00,83501296
2022-03-16 00:00:00-04:00,80800000
2022-03-17 00:00:00-04:00,78795504
2022-03-24 00:00:00-04:00,82395800
2022-03-25 00:00:00-04:00,78795504
2022-04-07 00:00:00-04:00,78805200
2022-04-27 00:00:00-04:00,80454200
2022-04-27 00:00:00-04:00,78805200
2022-05-08 00:00:00-04:00,78805504
2022-05-09 00:00:00-04:00,78805504
2022-05-27 00:00:00-04:00,79304496
2022-05-29 00:00:00-04:00,78805504
2022-08-09 00:00:00-04:00,78108200
2022-09-02 00:00:00-04:00,78108200
2022-10-04 00:00:00-04:00,75018496
2022-10-05 00:00:00-04:00,78108200
2022-10-18 00:00:00-04:00,74484304
2022-10-19 00:00:00-04:00,78108200
2022-10-21 00:00:00-04:00,80747504
2022-10-22 00:00:00-04:00,78108200
2022-11-02 00:00:00-04:00,78609904
2022-11-05 00:00:00-04:00,78200000
2022-11-09 00:00:00-05:00,78112400
2022-12-07 00:00:00-05:00,78897504
2022-12-08 00:00:00-05:00,78112400
2023-02-08 00:00:00-05:00,77300000
2023-03-01 00:00:00-05:00,76610304
2023-03-08 00:00:00-05:00,76843696
2023-03-09 00:00:00-05:00,76610304
2023-03-18 00:00:00-04:00,77959800
2023-03-21 00:00:00-04:00,76610304
2023-03-23 00:00:00-04:00,76610304
2023-03-23 00:00:00-04:00,80370800
