,0
2022-02-11 00:00:00-05:00,82795600
2022-02-12 00:00:00-05:00,82795600
2022-02-12 00:00:00-05:00,84262096
2022-02-25 00:00:00-05:00,82461296
2022-03-04 00:00:00-05:00,82461296
2022-03-04 00:00:00-05:00,82764400
2022-03-14 00:00:00-04:00,82355296
2022-05-06 00:00:00-04:00,81714304
2022-08-06 00:00:00-04:00,81256400
2022-09-02 00:00:00-04:00,81256400
2022-09-10 00:00:00-04:00,80405800
2022-09-12 00:00:00-04:00,81256400
2022-09-17 00:00:00-04:00,84063800
2022-09-17 00:00:00-04:00,81256400
2022-11-05 00:00:00-04:00,80969000
2023-02-25 00:00:00-05:00,80824896
2023-03-07 00:00:00-05:00,82151296
2023-03-07 00:00:00-05:00,80824896
2023-03-11 00:00:00-05:00,81109000
2023-03-18 00:00:00-04:00,83662096
2023-03-21 00:00:00-04:00,81109000
