,0
2022-01-12 00:00:00-05:00,502520000
2022-02-03 00:00:00-05:00,502124000
2022-02-12 00:00:00-05:00,502124000
2022-03-15 00:00:00-04:00,510172000
2022-03-16 00:00:00-04:00,507524000
2022-03-17 00:00:00-04:00,502124000
2022-03-24 00:00:00-04:00,518172992
2022-03-24 00:00:00-04:00,502124000
2022-03-25 00:00:00-04:00,502124000
2022-05-06 00:00:00-04:00,499924000
2022-08-01 00:00:00-04:00,498356992
2022-09-02 00:00:00-04:00,498356992
2022-09-22 00:00:00-04:00,504316992
2022-09-23 00:00:00-04:00,498356992
2022-10-21 00:00:00-04:00,510048000
2022-10-23 00:00:00-04:00,498356992
2022-11-02 00:00:00-04:00,517100992
2022-11-05 00:00:00-04:00,499600000
2022-11-08 00:00:00-05:00,501967008
2022-11-09 00:00:00-05:00,499600000
2022-11-16 00:00:00-05:00,499559008
2022-12-30 00:00:00-05:00,500257984
2023-01-31 00:00:00-05:00,500300000
2023-02-02 00:00:00-05:00,500358016
2023-03-03 00:00:00-05:00,500358016
2023-03-03 00:00:00-05:00,501047008
2023-03-18 00:00:00-04:00,500358016
2023-03-18 00:00:00-04:00,513500000
2023-03-23 00:00:00-04:00,512534016
2023-03-24 00:00:00-04:00,500358016
