,0
2022-01-04 00:00:00-05:00,467350016
2022-01-05 00:00:00-05:00,467513984
2022-01-07 00:00:00-05:00,466078016
2022-01-08 00:00:00-05:00,466595008
2022-01-11 00:00:00-05:00,466952992
2022-01-12 00:00:00-05:00,466158016
2022-01-13 00:00:00-05:00,465956000
2022-01-14 00:00:00-05:00,465604000
2022-01-15 00:00:00-05:00,465976000
2022-01-19 00:00:00-05:00,465736000
2022-01-20 00:00:00-05:00,465910016
2022-01-21 00:00:00-05:00,465918016
2022-01-22 00:00:00-05:00,465432000
2022-01-25 00:00:00-05:00,465561984
2022-01-26 00:00:00-05:00,466208000
2022-01-27 00:00:00-05:00,465883008
2022-01-28 00:00:00-05:00,466979008
2022-01-29 00:00:00-05:00,467436000
2022-02-01 00:00:00-05:00,466864992
2022-02-03 00:00:00-05:00,466438016
2022-02-04 00:00:00-05:00,465952992
2022-02-06 00:00:00-05:00,466739008
2022-02-08 00:00:00-05:00,466568000
2022-02-09 00:00:00-05:00,466820000
2022-02-10 00:00:00-05:00,466934016
2022-02-11 00:00:00-05:00,466585984
2022-02-12 00:00:00-05:00,467211008
2022-02-13 00:00:00-05:00,467576992
2022-02-15 00:00:00-05:00,467232992
2022-02-16 00:00:00-05:00,467171008
2022-02-17 00:00:00-05:00,466766016
2022-02-18 00:00:00-05:00,467062016
2022-02-19 00:00:00-05:00,467056000
2022-02-23 00:00:00-05:00,466841984
2022-02-24 00:00:00-05:00,466812992
2022-02-25 00:00:00-05:00,467356000
2022-02-26 00:00:00-05:00,466944000
2022-03-01 00:00:00-05:00,468015008
2022-03-02 00:00:00-05:00,467803008
2022-03-03 00:00:00-05:00,467190016
2022-03-04 00:00:00-05:00,466086016
2022-03-05 00:00:00-05:00,466643008
2022-03-08 00:00:00-05:00,466112992
2022-03-12 00:00:00-05:00,466908000
2022-03-15 00:00:00-04:00,468331008
2022-03-16 00:00:00-04:00,459488992
2022-03-17 00:00:00-04:00,455404992
2022-03-20 00:00:00-04:00,468396992
2022-03-23 00:00:00-04:00,469656992
2022-03-24 00:00:00-04:00,468188000
2022-03-25 00:00:00-04:00,467968992
2022-03-28 00:00:00-04:00,468488000
2022-03-29 00:00:00-04:00,468644000
2022-03-30 00:00:00-04:00,468499008
2022-03-31 00:00:00-04:00,468288992
2022-04-01 00:00:00-04:00,468167008
2022-04-02 00:00:00-04:00,468348992
2022-04-05 00:00:00-04:00,469456000
2022-04-06 00:00:00-04:00,468617984
2022-04-07 00:00:00-04:00,469689984
2022-04-08 00:00:00-04:00,469192992
2022-04-09 00:00:00-04:00,468444992
2022-04-12 00:00:00-04:00,468217984
2022-04-13 00:00:00-04:00,468211008
2022-04-14 00:00:00-04:00,467876000
2022-04-15 00:00:00-04:00,468499008
2022-04-19 00:00:00-04:00,468388000
2022-04-20 00:00:00-04:00,468452000
2022-04-22 00:00:00-04:00,469260992
2022-04-23 00:00:00-04:00,469096992
2022-04-26 00:00:00-04:00,468279008
2022-04-27 00:00:00-04:00,471236000
2022-04-28 00:00:00-04:00,467832992
2022-04-29 00:00:00-04:00,466756992
2022-04-30 00:00:00-04:00,466377984
2022-05-03 00:00:00-04:00,467238016
2022-05-06 00:00:00-04:00,468953984
2022-05-08 00:00:00-04:00,468630016
2022-05-10 00:00:00-04:00,468952000
2022-05-11 00:00:00-04:00,469153984
2022-05-14 00:00:00-04:00,470031008
2022-05-17 00:00:00-04:00,470359008
2022-05-19 00:00:00-04:00,470033984
2022-05-21 00:00:00-04:00,470339008
2022-05-26 00:00:00-04:00,470636000
2022-05-27 00:00:00-04:00,464428000
2022-05-28 00:00:00-04:00,471192992
2022-06-01 00:00:00-04:00,471320992
2022-06-03 00:00:00-04:00,470815008
2022-06-04 00:00:00-04:00,470815008
2022-06-07 00:00:00-04:00,469416992
2022-06-10 00:00:00-04:00,469803008
2022-06-11 00:00:00-04:00,469431008
2022-06-14 00:00:00-04:00,469835008
2022-06-15 00:00:00-04:00,470168992
2022-06-16 00:00:00-04:00,470423008
2022-06-18 00:00:00-04:00,470966016
2022-06-21 00:00:00-04:00,471048992
2022-06-22 00:00:00-04:00,471542016
2022-06-23 00:00:00-04:00,470774016
2022-06-24 00:00:00-04:00,468879008
2022-06-25 00:00:00-04:00,476592992
2022-06-28 00:00:00-04:00,472896000
2022-06-28 00:00:00-04:00,473350016
2022-06-29 00:00:00-04:00,473227008
2022-06-30 00:00:00-04:00,473327008
2022-07-01 00:00:00-04:00,472999008
2022-07-02 00:00:00-04:00,473000992
2022-07-06 00:00:00-04:00,472911008
2022-07-06 00:00:00-04:00,478144992
2022-07-07 00:00:00-04:00,473980992
2022-07-08 00:00:00-04:00,474176000
2022-07-09 00:00:00-04:00,474156992
2022-07-12 00:00:00-04:00,474764000
2022-07-14 00:00:00-04:00,474687008
2022-07-15 00:00:00-04:00,475175008
2022-07-16 00:00:00-04:00,474496992
2022-07-20 00:00:00-04:00,468220992
2022-07-21 00:00:00-04:00,475616000
2022-07-22 00:00:00-04:00,476081984
2022-07-23 00:00:00-04:00,475798016
2022-07-28 00:00:00-04:00,475198016
2022-07-30 00:00:00-04:00,475606016
2022-07-31 00:00:00-04:00,474928000
2022-08-05 00:00:00-04:00,474073984
2022-08-07 00:00:00-04:00,474619008
2022-08-09 00:00:00-04:00,474406016
2022-08-14 00:00:00-04:00,474899008
2022-08-16 00:00:00-04:00,474987008
2022-08-18 00:00:00-04:00,475633984
2022-08-19 00:00:00-04:00,475372992
2022-08-20 00:00:00-04:00,475264992
2022-08-24 00:00:00-04:00,474169984
2022-09-14 00:00:00-04:00,474169984
2022-09-15 00:00:00-04:00,482692000
2022-09-16 00:00:00-04:00,483860992
2022-09-17 00:00:00-04:00,480968000
2022-09-20 00:00:00-04:00,483683008
2022-09-21 00:00:00-04:00,484030016
2022-09-22 00:00:00-04:00,482228992
2022-09-25 00:00:00-04:00,480998016
2022-10-01 00:00:00-04:00,481638016
2022-10-04 00:00:00-04:00,481600000
2022-10-05 00:00:00-04:00,480999008
2022-10-06 00:00:00-04:00,480628000
2022-10-07 00:00:00-04:00,482624000
2022-10-08 00:00:00-04:00,481849984
2022-10-11 00:00:00-04:00,481543008
2022-10-12 00:00:00-04:00,481712992
2022-10-14 00:00:00-04:00,482276992
2022-10-15 00:00:00-04:00,482406016
2022-10-18 00:00:00-04:00,482432992
2022-10-19 00:00:00-04:00,482236000
2022-10-20 00:00:00-04:00,482519008
2022-10-21 00:00:00-04:00,489295008
2022-10-22 00:00:00-04:00,481080992
2022-10-26 00:00:00-04:00,480640992
2022-10-28 00:00:00-04:00,480774016
2022-10-30 00:00:00-04:00,481256992
2022-11-02 00:00:00-04:00,480952992
2022-11-05 00:00:00-04:00,480835008
2022-11-08 00:00:00-05:00,481264992
2022-11-09 00:00:00-05:00,480839008
2022-11-11 00:00:00-05:00,480744992
2022-11-12 00:00:00-05:00,480774016
2022-11-15 00:00:00-05:00,481184992
2022-11-16 00:00:00-05:00,480759008
2022-11-18 00:00:00-05:00,480399008
2022-11-19 00:00:00-05:00,480399008
2022-11-22 00:00:00-05:00,480755008
2022-11-24 00:00:00-05:00,477409984
2022-11-25 00:00:00-05:00,479239008
2022-11-26 00:00:00-05:00,478796000
2022-11-29 00:00:00-05:00,478863008
2022-11-30 00:00:00-05:00,479051008
2022-12-05 00:00:00-05:00,478553984
2022-12-07 00:00:00-05:00,478248992
2022-12-08 00:00:00-05:00,478452992
2022-12-09 00:00:00-05:00,478528992
2022-12-11 00:00:00-05:00,478403008
2022-12-14 00:00:00-05:00,478511008
2022-12-16 00:00:00-05:00,479251008
2022-12-17 00:00:00-05:00,479356000
2022-12-21 00:00:00-05:00,479617984
2022-12-21 00:00:00-05:00,479383008
2022-12-22 00:00:00-05:00,478617984
2022-12-23 00:00:00-05:00,479150016
2022-12-24 00:00:00-05:00,479023008
2022-12-28 00:00:00-05:00,478744000
2022-12-29 00:00:00-05:00,478582016
2022-12-30 00:00:00-05:00,478868992
2022-12-31 00:00:00-05:00,479356000
2023-01-04 00:00:00-05:00,484446016
2023-01-05 00:00:00-05:00,479228000
2023-01-06 00:00:00-05:00,478619008
2023-01-07 00:00:00-05:00,478808992
2023-01-12 00:00:00-05:00,478536000
2023-01-13 00:00:00-05:00,478840992
2023-01-14 00:00:00-05:00,479604000
2023-01-19 00:00:00-05:00,478998016
2023-01-20 00:00:00-05:00,478534016
2023-01-21 00:00:00-05:00,478716000
2023-01-25 00:00:00-05:00,478571008
2023-01-26 00:00:00-05:00,478308000
2023-01-27 00:00:00-05:00,477966016
2023-01-28 00:00:00-05:00,478062016
2023-01-31 00:00:00-05:00,478304000
2023-02-02 00:00:00-05:00,478923008
2023-02-08 00:00:00-05:00,479124000
2023-02-09 00:00:00-05:00,478681984
2023-02-10 00:00:00-05:00,478888000
2023-02-11 00:00:00-05:00,478785984
2023-02-14 00:00:00-05:00,478841984
