,0
2022-02-12 00:00:00-05:00,334665984
2022-03-01 00:00:00-05:00,332843008
2022-03-03 00:00:00-05:00,332323008
2022-03-15 00:00:00-04:00,332968992
2022-03-16 00:00:00-04:00,332323008
2022-04-08 00:00:00-04:00,330668000
2022-04-27 00:00:00-04:00,338750016
2022-04-28 00:00:00-04:00,330668000
2022-05-12 00:00:00-04:00,326860992
2022-07-19 00:00:00-04:00,327238016
2022-07-20 00:00:00-04:00,326860992
2022-08-09 00:00:00-04:00,321171008
2022-09-14 00:00:00-04:00,321171008
2022-09-21 00:00:00-04:00,329352992
2022-09-22 00:00:00-04:00,321171008
2022-10-04 00:00:00-04:00,308512992
2022-10-05 00:00:00-04:00,321171008
2022-10-21 00:00:00-04:00,321456000
2022-10-22 00:00:00-04:00,321171008
2022-11-02 00:00:00-04:00,315948992
2023-01-31 00:00:00-05:00,318932000
2023-02-02 00:00:00-05:00,315948992
2023-02-04 00:00:00-05:00,321024992
2023-02-05 00:00:00-05:00,315948992
2023-03-01 00:00:00-05:00,309892000
2023-03-18 00:00:00-04:00,316982016
2023-03-21 00:00:00-04:00,309892000
