,0
2022-02-08 00:00:00-05:00,102208000
2022-02-09 00:00:00-05:00,101900000
2022-02-12 00:00:00-05:00,101900000
2022-02-15 00:00:00-05:00,95851904
2022-03-15 00:00:00-04:00,96971800
2022-03-16 00:00:00-04:00,95851904
2022-03-23 00:00:00-04:00,96847200
2022-03-24 00:00:00-04:00,95851904
2022-04-12 00:00:00-04:00,98003504
2022-04-14 00:00:00-04:00,95851904
2022-04-28 00:00:00-04:00,95083104
2022-05-06 00:00:00-04:00,98515104
2022-05-07 00:00:00-04:00,95083104
2022-05-09 00:00:00-04:00,94600000
2022-06-03 00:00:00-04:00,96037800
2022-06-03 00:00:00-04:00,94600000
2022-07-21 00:00:00-04:00,96246704
2022-07-22 00:00:00-04:00,94600000
2022-08-04 00:00:00-04:00,93076496
2022-08-07 00:00:00-04:00,91300000
2022-08-24 00:00:00-04:00,91398896
2022-09-02 00:00:00-04:00,91300000
2022-09-23 00:00:00-04:00,93585400
2022-09-24 00:00:00-04:00,91300000
2022-10-04 00:00:00-04:00,87454000
2022-10-06 00:00:00-04:00,91300000
2022-11-02 00:00:00-04:00,90104000
2022-11-05 00:00:00-04:00,90100000
2023-02-24 00:00:00-05:00,90400000
2023-03-18 00:00:00-04:00,91883696
2023-03-21 00:00:00-04:00,90400000
