,0
2022-02-11 00:00:00-05:00,286567008
2022-03-01 00:00:00-05:00,286752000
2022-03-22 00:00:00-04:00,286296000
2022-05-06 00:00:00-04:00,298628000
2022-05-06 00:00:00-04:00,286296000
2022-05-10 00:00:00-04:00,285655008
2022-06-03 00:00:00-04:00,303649984
2022-06-03 00:00:00-04:00,285655008
2022-07-29 00:00:00-04:00,289798016
2022-07-30 00:00:00-04:00,285655008
2022-08-09 00:00:00-04:00,284988992
2022-09-02 00:00:00-04:00,284988992
2022-10-21 00:00:00-04:00,292496000
2022-10-23 00:00:00-04:00,284988992
2022-11-08 00:00:00-05:00,284828000
2023-03-01 00:00:00-05:00,284462016
2023-03-18 00:00:00-04:00,292172992
2023-03-22 00:00:00-04:00,284670016
