,0
2022-01-27 00:00:00-05:00,60711000
2022-01-28 00:00:00-05:00,60732300
2022-02-08 00:00:00-05:00,60738200
2022-02-12 00:00:00-05:00,60738200
2022-02-16 00:00:00-05:00,60738200
2022-02-19 00:00:00-05:00,60738200
2022-02-24 00:00:00-05:00,60738200
2022-03-02 00:00:00-05:00,60738200
2022-03-03 00:00:00-05:00,60738200
2022-03-05 00:00:00-05:00,60738200
2022-03-06 00:00:00-05:00,60738200
2022-03-08 00:00:00-05:00,60738200
2022-03-15 00:00:00-04:00,62420400
2022-03-16 00:00:00-04:00,60800700
2022-03-17 00:00:00-04:00,60738200
2022-03-19 00:00:00-04:00,60738200
2022-03-22 00:00:00-04:00,60738200
2022-03-24 00:00:00-04:00,60738200
2022-03-25 00:00:00-04:00,60738200
2022-03-29 00:00:00-04:00,60738200
2022-04-05 00:00:00-04:00,60738200
2022-04-09 00:00:00-04:00,60738200
2022-04-12 00:00:00-04:00,60738200
2022-04-14 00:00:00-04:00,60738200
2022-04-19 00:00:00-04:00,60738200
2022-04-27 00:00:00-04:00,60738200
2022-04-29 00:00:00-04:00,60738200
2022-05-04 00:00:00-04:00,60465000
2022-05-10 00:00:00-04:00,60472000
2022-07-09 00:00:00-04:00,60782300
2022-07-10 00:00:00-04:00,60472000
2022-07-28 00:00:00-04:00,59556000
2022-08-09 00:00:00-04:00,59562200
2022-09-14 00:00:00-04:00,59562200
2022-10-04 00:00:00-04:00,57179900
2022-10-06 00:00:00-04:00,59562200
2022-10-27 00:00:00-04:00,59860000
2022-11-17 00:00:00-05:00,60368600
2022-11-18 00:00:00-05:00,60368600
2022-11-19 00:00:00-05:00,60368600
2022-11-23 00:00:00-05:00,60368600
2022-11-24 00:00:00-05:00,60903600
2022-11-26 00:00:00-05:00,60368600
2022-11-29 00:00:00-05:00,60368600
2022-12-07 00:00:00-05:00,60368600
2022-12-08 00:00:00-05:00,60368600
2022-12-09 00:00:00-05:00,60368600
2022-12-16 00:00:00-05:00,60368600
2022-12-17 00:00:00-05:00,60368600
2022-12-22 00:00:00-05:00,60368600
2022-12-30 00:00:00-05:00,60368600
2022-12-31 00:00:00-05:00,60368600
2023-01-05 00:00:00-05:00,60368600
2023-01-12 00:00:00-05:00,60368600
2023-01-14 00:00:00-05:00,60368600
2023-01-19 00:00:00-05:00,60368600
2023-01-20 00:00:00-05:00,60368600
2023-01-26 00:00:00-05:00,60117000
2023-01-27 00:00:00-05:00,60117600
2023-02-07 00:00:00-05:00,60120600
2023-02-08 00:00:00-05:00,60120600
2023-02-09 00:00:00-05:00,60120600
2023-02-10 00:00:00-05:00,60120600
2023-02-11 00:00:00-05:00,60120600
2023-02-14 00:00:00-05:00,60120600
2023-02-17 00:00:00-05:00,60120600
2023-02-23 00:00:00-05:00,60120600
2023-02-28 00:00:00-05:00,60120600
2023-03-01 00:00:00-05:00,60120600
2023-03-03 00:00:00-05:00,60120600
2023-03-04 00:00:00-05:00,60120600
2023-03-08 00:00:00-05:00,60336800
2023-03-09 00:00:00-05:00,60120600
2023-03-10 00:00:00-05:00,60120600
2023-03-15 00:00:00-04:00,60120600
2023-03-21 00:00:00-04:00,60120600
2023-03-22 00:00:00-04:00,60120600
2023-03-23 00:00:00-04:00,61898600
2023-03-24 00:00:00-04:00,60279200
2023-03-26 00:00:00-04:00,60120600
2023-03-28 00:00:00-04:00,60120600
2023-03-30 00:00:00-04:00,61023400
