,0
2022-02-11 00:00:00-05:00,608937024
2022-02-26 00:00:00-05:00,609590976
2022-03-15 00:00:00-04:00,611507008
2022-03-16 00:00:00-04:00,609590976
2022-04-19 00:00:00-04:00,610731008
2022-05-05 00:00:00-04:00,610771008
2022-06-28 00:00:00-04:00,622704000
2022-06-28 00:00:00-04:00,610771008
2022-06-29 00:00:00-04:00,626774016
2022-06-29 00:00:00-04:00,610771008
2022-07-09 00:00:00-04:00,607945984
2022-07-29 00:00:00-04:00,623387008
2022-07-30 00:00:00-04:00,607945984
2022-08-07 00:00:00-04:00,607979008
2022-08-09 00:00:00-04:00,607979008
2022-08-23 00:00:00-04:00,624382976
2022-08-24 00:00:00-04:00,607979008
2022-09-14 00:00:00-04:00,607979008
2022-10-21 00:00:00-04:00,609408000
2022-10-22 00:00:00-04:00,607979008
2022-11-09 00:00:00-05:00,593379008
2022-12-20 00:00:00-05:00,609854976
2022-12-21 00:00:00-05:00,593379008
2023-03-01 00:00:00-05:00,591934976
2023-03-08 00:00:00-05:00,603750016
2023-03-09 00:00:00-05:00,591934976
2023-03-18 00:00:00-04:00,597780992
2023-03-21 00:00:00-04:00,591934976
