,0
2022-02-11 00:00:00-05:00,660232000
2022-02-28 00:00:00-05:00,652196992
2022-03-15 00:00:00-04:00,653307008
2022-03-16 00:00:00-04:00,652196992
2022-03-24 00:00:00-04:00,663553024
2022-03-25 00:00:00-04:00,652196992
2022-04-07 00:00:00-04:00,648764992
2022-05-05 00:00:00-04:00,646393984
2022-05-06 00:00:00-04:00,665809024
2022-05-07 00:00:00-04:00,646393984
2022-06-14 00:00:00-04:00,680438016
2022-06-15 00:00:00-04:00,646393984
2022-07-29 00:00:00-04:00,639584000
2022-07-29 00:00:00-04:00,647054016
2022-09-02 00:00:00-04:00,639584000
2022-09-20 00:00:00-04:00,639337984
2022-09-20 00:00:00-04:00,639584000
2022-10-04 00:00:00-04:00,627184000
2022-10-06 00:00:00-04:00,639584000
2022-10-21 00:00:00-04:00,647796992
2022-10-22 00:00:00-04:00,639584000
2022-11-01 00:00:00-04:00,635027968
2022-12-07 00:00:00-05:00,646672000
2022-12-08 00:00:00-05:00,635027968
2023-02-25 00:00:00-05:00,628126016
2023-03-18 00:00:00-04:00,635790976
2023-03-22 00:00:00-04:00,628126016
2023-03-24 00:00:00-04:00,629539968
2023-03-25 00:00:00-04:00,628126016
2023-03-30 00:00:00-04:00,631286976
