,0
2022-02-12 00:00:00-05:00,106327000
2022-03-04 00:00:00-05:00,106332000
2022-03-05 00:00:00-05:00,106334000
2022-03-07 00:00:00-05:00,106334000
2022-03-12 00:00:00-05:00,106334000
2022-03-15 00:00:00-04:00,111356000
2022-03-16 00:00:00-04:00,106944000
2022-03-18 00:00:00-04:00,106334000
2022-03-22 00:00:00-04:00,106334000
2022-03-23 00:00:00-04:00,106334000
2022-03-25 00:00:00-04:00,106334000
2022-04-01 00:00:00-04:00,106334000
2022-04-02 00:00:00-04:00,106334000
2022-04-05 00:00:00-04:00,106334000
2022-04-08 00:00:00-04:00,106334000
2022-04-09 00:00:00-04:00,106334000
2022-04-14 00:00:00-04:00,106334000
2022-04-21 00:00:00-04:00,106583000
2022-04-23 00:00:00-04:00,106583000
2022-04-23 00:00:00-04:00,109617000
2022-05-04 00:00:00-04:00,106584000
2022-07-30 00:00:00-04:00,106595000
2022-08-02 00:00:00-04:00,106595000
2022-09-02 00:00:00-04:00,106595000
2022-09-21 00:00:00-04:00,109577000
2022-09-23 00:00:00-04:00,106595000
2022-10-21 00:00:00-04:00,107932000
2022-10-22 00:00:00-04:00,106595000
2022-10-30 00:00:00-04:00,106606000
2022-11-02 00:00:00-04:00,106606000
2022-11-09 00:00:00-05:00,106616000
2022-11-11 00:00:00-05:00,106606000
2023-03-03 00:00:00-05:00,106609000
