,0
2022-01-04 00:00:00-05:00,663945984
2022-01-05 00:00:00-05:00,663801024
2022-01-06 00:00:00-05:00,663484032
2022-01-07 00:00:00-05:00,663310976
2022-01-08 00:00:00-05:00,663734976
2022-01-11 00:00:00-05:00,663545024
2022-01-12 00:00:00-05:00,664403968
2022-01-13 00:00:00-05:00,664252992
2022-01-14 00:00:00-05:00,665011008
2022-01-15 00:00:00-05:00,664460992
2022-01-19 00:00:00-05:00,664446976
2022-01-20 00:00:00-05:00,665022976
2022-01-21 00:00:00-05:00,664238016
2022-01-22 00:00:00-05:00,663131008
2022-01-26 00:00:00-05:00,663265024
2022-01-27 00:00:00-05:00,663780992
2022-01-28 00:00:00-05:00,664049984
2022-01-29 00:00:00-05:00,663617024
2022-02-01 00:00:00-05:00,664691968
2022-02-02 00:00:00-05:00,664305024
2022-02-04 00:00:00-05:00,683731968
2022-02-05 00:00:00-05:00,660001984
2022-02-06 00:00:00-05:00,660361024
2022-02-08 00:00:00-05:00,660374976
2022-02-09 00:00:00-05:00,660550016
2022-02-11 00:00:00-05:00,660931008
2022-02-12 00:00:00-05:00,660612992
2022-02-15 00:00:00-05:00,660444992
2022-02-16 00:00:00-05:00,660547968
2022-02-17 00:00:00-05:00,660396992
2022-02-18 00:00:00-05:00,660422016
2022-02-20 00:00:00-05:00,661126976
2022-02-23 00:00:00-05:00,659971968
2022-02-25 00:00:00-05:00,660929984
2022-02-26 00:00:00-05:00,661112000
2022-03-02 00:00:00-05:00,661222016
2022-03-03 00:00:00-05:00,661393984
2022-03-04 00:00:00-05:00,664713024
2022-03-05 00:00:00-05:00,661486976
2022-03-08 00:00:00-05:00,661185984
2022-03-11 00:00:00-05:00,661572992
2022-03-12 00:00:00-05:00,662441984
2022-03-15 00:00:00-04:00,683056000
2022-03-17 00:00:00-04:00,665889984
2022-03-18 00:00:00-04:00,642798976
2022-03-19 00:00:00-04:00,662539008
2022-03-22 00:00:00-04:00,661846016
2022-03-23 00:00:00-04:00,653321984
2022-03-24 00:00:00-04:00,661491968
2022-03-25 00:00:00-04:00,660392000
2022-03-28 00:00:00-04:00,659921024
2022-03-31 00:00:00-04:00,662540992
2022-04-01 00:00:00-04:00,676219008
2022-04-02 00:00:00-04:00,662209024
2022-04-02 00:00:00-04:00,657174016
2022-04-07 00:00:00-04:00,662422976
2022-04-08 00:00:00-04:00,662310016
2022-04-09 00:00:00-04:00,662683008
2022-04-12 00:00:00-04:00,663355008
2022-04-13 00:00:00-04:00,662606976
2022-04-14 00:00:00-04:00,661928000
2022-04-19 00:00:00-04:00,661678976
2022-04-20 00:00:00-04:00,662243008
2022-04-21 00:00:00-04:00,661481984
2022-04-23 00:00:00-04:00,660918976
2022-04-26 00:00:00-04:00,661254016
2022-04-29 00:00:00-04:00,660849984
2022-04-30 00:00:00-04:00,660852992
2022-05-03 00:00:00-04:00,660043008
2022-05-05 00:00:00-04:00,659305024
