,0
2022-02-12 00:00:00-05:00,290151008
2022-02-14 00:00:00-05:00,284750016
2022-02-22 00:00:00-05:00,281968000
2022-03-20 00:00:00-04:00,281684000
2022-05-04 00:00:00-04:00,281540000
2022-06-28 00:00:00-04:00,281540000
2022-06-28 00:00:00-04:00,285966016
2022-06-29 00:00:00-04:00,290655008
2022-06-29 00:00:00-04:00,281540000
2022-07-29 00:00:00-04:00,286664000
2022-07-30 00:00:00-04:00,281540000
2022-08-04 00:00:00-04:00,277163008
2022-09-14 00:00:00-04:00,277163008
2022-11-02 00:00:00-04:00,270400992
2022-12-20 00:00:00-05:00,275192000
2022-12-21 00:00:00-05:00,270400992
2023-02-11 00:00:00-05:00,263082000
2023-02-18 00:00:00-05:00,263154000
2023-02-23 00:00:00-05:00,263154000
2023-03-08 00:00:00-05:00,272319008
2023-03-09 00:00:00-05:00,263154000
2023-03-18 00:00:00-04:00,263784000
2023-03-30 00:00:00-04:00,273718016
