,0
2022-02-04 00:00:00-05:00,421692000
2022-02-11 00:00:00-05:00,421692000
2022-02-16 00:00:00-05:00,418904992
2022-03-04 00:00:00-05:00,422271008
2022-03-04 00:00:00-05:00,418904992
2022-03-15 00:00:00-04:00,422791008
2022-03-16 00:00:00-04:00,418904992
2022-03-28 00:00:00-04:00,419131008
2022-03-29 00:00:00-04:00,418904992
2022-03-31 00:00:00-04:00,423963008
2022-03-31 00:00:00-04:00,418904992
2022-04-13 00:00:00-04:00,417623008
2022-05-05 00:00:00-04:00,417913984
2022-05-19 00:00:00-04:00,438443008
2022-05-20 00:00:00-04:00,417913984
2022-06-23 00:00:00-04:00,417913984
2022-06-23 00:00:00-04:00,420972000
2022-08-08 00:00:00-04:00,416310016
2022-08-13 00:00:00-04:00,415403008
2022-09-01 00:00:00-04:00,415403008
2022-09-02 00:00:00-04:00,415403008
2022-11-05 00:00:00-04:00,413712000
2023-01-04 00:00:00-05:00,417419008
2023-01-05 00:00:00-05:00,413712000
2023-02-16 00:00:00-05:00,412283008
2023-03-18 00:00:00-04:00,425320992
2023-03-21 00:00:00-04:00,412283008
2023-03-30 00:00:00-04:00,419200992
