,0
2022-02-12 00:00:00-05:00,72825000
2022-03-15 00:00:00-04:00,74295400
2022-03-16 00:00:00-04:00,74627400
2022-03-18 00:00:00-04:00,72825000
2022-03-31 00:00:00-04:00,72825000
2022-03-31 00:00:00-04:00,73035504
2022-04-23 00:00:00-04:00,72825000
2022-04-23 00:00:00-04:00,75165104
2022-05-10 00:00:00-04:00,72861800
2022-07-29 00:00:00-04:00,74137504
2022-07-30 00:00:00-04:00,72861800
2022-09-14 00:00:00-04:00,72902800
2022-09-17 00:00:00-04:00,73397504
2022-09-18 00:00:00-04:00,72902800
2022-10-08 00:00:00-04:00,72882896
2022-10-21 00:00:00-04:00,73531296
2022-10-22 00:00:00-04:00,72882896
2022-11-11 00:00:00-05:00,72949400
2022-11-13 00:00:00-05:00,72949400
2023-02-11 00:00:00-05:00,72990704
2023-03-08 00:00:00-05:00,73463504
2023-03-09 00:00:00-05:00,72990704
2023-03-11 00:00:00-05:00,75174704
2023-03-11 00:00:00-05:00,72990704
