,0
2022-01-31 00:00:00-05:00,322000000
2022-02-12 00:00:00-05:00,322000000
2022-02-15 00:00:00-05:00,322758016
2022-03-31 00:00:00-04:00,322568992
2022-03-31 00:00:00-04:00,323512992
2022-05-04 00:00:00-04:00,323095008
2022-06-29 00:00:00-04:00,328729984
2022-06-29 00:00:00-04:00,323095008
2022-07-29 00:00:00-04:00,326476992
2022-07-30 00:00:00-04:00,323095008
2022-08-02 00:00:00-04:00,322608992
2022-09-08 00:00:00-04:00,322608992
2022-09-10 00:00:00-04:00,318720992
2022-09-12 00:00:00-04:00,322608992
2022-11-01 00:00:00-04:00,324556000
2023-02-08 00:00:00-05:00,323000000
2023-02-15 00:00:00-05:00,323960000
2023-03-04 00:00:00-05:00,324488000
2023-03-05 00:00:00-05:00,323960000
2023-03-30 00:00:00-04:00,327990016
