,0
2022-02-11 00:00:00-05:00,956592000
2022-02-25 00:00:00-05:00,952347008
2022-04-12 00:00:00-04:00,960761984
2022-04-14 00:00:00-04:00,952347008
2022-05-04 00:00:00-04:00,955073984
2022-05-05 00:00:00-04:00,950160000
2022-07-12 00:00:00-04:00,950160000
2022-07-12 00:00:00-04:00,951884992
2022-07-29 00:00:00-04:00,955532032
2022-07-30 00:00:00-04:00,950160000
2022-08-04 00:00:00-04:00,969446016
2022-08-07 00:00:00-04:00,950174976
2022-08-09 00:00:00-04:00,950174976
2022-08-17 00:00:00-04:00,961289984
2022-08-18 00:00:00-04:00,950174976
2022-09-01 00:00:00-04:00,950174976
2022-09-02 00:00:00-04:00,925892992
2022-09-02 00:00:00-04:00,950174976
2022-09-10 00:00:00-04:00,943595008
2022-09-12 00:00:00-04:00,950174976
2022-09-17 00:00:00-04:00,950174976
2022-09-17 00:00:00-04:00,951958976
2022-10-04 00:00:00-04:00,955494016
2022-10-07 00:00:00-04:00,950174976
2022-10-21 00:00:00-04:00,950809984
2022-10-22 00:00:00-04:00,950174976
2022-11-01 00:00:00-04:00,955956992
2022-11-02 00:00:00-04:00,950174976
2022-11-05 00:00:00-04:00,950177984
2023-02-25 00:00:00-05:00,950296000
2023-02-28 00:00:00-05:00,952347008
2023-03-01 00:00:00-05:00,952347008
2023-03-08 00:00:00-05:00,952347008
2023-03-08 00:00:00-05:00,977886016
2023-03-18 00:00:00-04:00,953360000
2023-03-21 00:00:00-04:00,952347008
