,0
2022-02-12 00:00:00-05:00,763990016
2022-03-15 00:00:00-04:00,867076992
2022-03-16 00:00:00-04:00,851945024
2022-03-18 00:00:00-04:00,763990016
2022-04-01 00:00:00-04:00,763992000
2022-05-04 00:00:00-04:00,769563008
2022-05-05 00:00:00-04:00,764108992
2022-07-26 00:00:00-04:00,764156032
2022-08-23 00:00:00-04:00,764156032
2022-08-24 00:00:00-04:00,764156032
2022-09-14 00:00:00-04:00,764156032
2022-10-04 00:00:00-04:00,742776000
2022-10-07 00:00:00-04:00,764156032
2022-10-27 00:00:00-04:00,764166016
2022-11-09 00:00:00-05:00,764918016
2022-11-11 00:00:00-05:00,764166016
2023-02-07 00:00:00-05:00,764273024
2023-03-08 00:00:00-05:00,776449984
2023-03-09 00:00:00-05:00,764273024
2023-03-28 00:00:00-04:00,764273024
2023-03-28 00:00:00-04:00,765540992
2023-03-30 00:00:00-04:00,768753984
