,0
2022-01-04 00:00:00-05:00,267259008
2022-01-05 00:00:00-05:00,267344000
2022-01-07 00:00:00-05:00,267347008
2022-01-08 00:00:00-05:00,267404000
2022-01-11 00:00:00-05:00,267240000
2022-01-12 00:00:00-05:00,267174000
2022-01-13 00:00:00-05:00,267227008
2022-01-14 00:00:00-05:00,267286000
2022-01-15 00:00:00-05:00,267348992
2022-01-19 00:00:00-05:00,267330000
2022-01-20 00:00:00-05:00,267282000
2022-01-21 00:00:00-05:00,267416992
2022-01-22 00:00:00-05:00,267328992
2022-01-25 00:00:00-05:00,267684000
2022-01-26 00:00:00-05:00,267376000
2022-01-27 00:00:00-05:00,267587008
2022-01-28 00:00:00-05:00,267226000
2022-01-29 00:00:00-05:00,267464992
2022-01-31 00:00:00-05:00,267464992
2022-02-01 00:00:00-05:00,267438000
2022-02-03 00:00:00-05:00,267504000
2022-02-05 00:00:00-05:00,267586000
2022-02-07 00:00:00-05:00,267624992
2022-02-08 00:00:00-05:00,267568992
2022-02-09 00:00:00-05:00,267562000
2022-02-10 00:00:00-05:00,267496000
2022-02-12 00:00:00-05:00,267488000
2022-02-15 00:00:00-05:00,267490000
2022-02-16 00:00:00-05:00,267539008
2022-02-17 00:00:00-05:00,267508992
2022-02-18 00:00:00-05:00,267707008
2022-02-19 00:00:00-05:00,267556992
2022-02-23 00:00:00-05:00,267614000
2022-02-24 00:00:00-05:00,267588000
2022-02-26 00:00:00-05:00,267619008
2022-03-01 00:00:00-05:00,267544000
2022-03-02 00:00:00-05:00,267284992
2022-03-04 00:00:00-05:00,267631008
2022-03-05 00:00:00-05:00,267631008
2022-03-08 00:00:00-05:00,267718000
2022-03-09 00:00:00-05:00,267888992
2022-03-12 00:00:00-05:00,267984992
2022-03-15 00:00:00-04:00,263400000
2022-03-16 00:00:00-04:00,263186000
2022-03-18 00:00:00-04:00,266960992
2022-03-20 00:00:00-04:00,267499008
2022-03-22 00:00:00-04:00,267632000
2022-03-23 00:00:00-04:00,267620992
2022-03-24 00:00:00-04:00,267544992
2022-03-25 00:00:00-04:00,267548992
2022-03-28 00:00:00-04:00,267554000
2022-03-29 00:00:00-04:00,267708000
2022-03-30 00:00:00-04:00,267552992
2022-04-01 00:00:00-04:00,268112000
2022-04-02 00:00:00-04:00,268131008
2022-04-05 00:00:00-04:00,267860000
2022-04-06 00:00:00-04:00,268042000
2022-04-07 00:00:00-04:00,267884992
2022-04-08 00:00:00-04:00,268156000
2022-04-09 00:00:00-04:00,268035008
2022-04-12 00:00:00-04:00,268060992
2022-04-13 00:00:00-04:00,268108000
2022-04-14 00:00:00-04:00,268055008
2022-04-15 00:00:00-04:00,268135008
2022-04-19 00:00:00-04:00,268082000
2022-04-19 00:00:00-04:00,271665984
2022-04-20 00:00:00-04:00,268038000
2022-04-21 00:00:00-04:00,268090000
2022-04-23 00:00:00-04:00,268287008
2022-04-26 00:00:00-04:00,267947008
2022-04-27 00:00:00-04:00,268216992
2022-04-28 00:00:00-04:00,268278000
2022-04-30 00:00:00-04:00,268288992
2022-05-04 00:00:00-04:00,268484000
2022-05-06 00:00:00-04:00,268086000
2022-05-07 00:00:00-04:00,267884000
2022-05-10 00:00:00-04:00,267991008
2022-05-11 00:00:00-04:00,268242000
2022-05-12 00:00:00-04:00,268159008
2022-05-13 00:00:00-04:00,268252992
2022-05-15 00:00:00-04:00,268036000
2022-05-17 00:00:00-04:00,267979008
