,0
2022-02-12 00:00:00-05:00,168896992
2022-02-22 00:00:00-05:00,168208992
2022-03-15 00:00:00-04:00,170531008
2022-03-16 00:00:00-04:00,168208992
2022-04-04 00:00:00-04:00,167448000
2022-04-19 00:00:00-04:00,167448000
2022-04-19 00:00:00-04:00,169792992
2022-05-17 00:00:00-04:00,171920992
2022-05-19 00:00:00-04:00,167296992
2022-06-01 00:00:00-04:00,169787008
2022-06-02 00:00:00-04:00,167296992
2022-06-14 00:00:00-04:00,172780000
2022-06-16 00:00:00-04:00,167296992
2022-07-15 00:00:00-04:00,168302000
2022-07-15 00:00:00-04:00,167296992
2022-07-29 00:00:00-04:00,171707008
2022-07-30 00:00:00-04:00,167296992
2022-08-09 00:00:00-04:00,166884992
2022-08-23 00:00:00-04:00,169966000
2022-08-24 00:00:00-04:00,166884992
2022-09-02 00:00:00-04:00,166884992
2022-09-20 00:00:00-04:00,165935008
2022-09-21 00:00:00-04:00,166884992
2022-10-21 00:00:00-04:00,168907008
2022-10-23 00:00:00-04:00,166884992
2022-11-05 00:00:00-04:00,167203008
2022-11-09 00:00:00-05:00,167203008
2023-01-04 00:00:00-05:00,167404992
2023-01-05 00:00:00-05:00,167203008
2023-02-18 00:00:00-05:00,167250000
2023-02-23 00:00:00-05:00,167250000
2023-03-08 00:00:00-05:00,168532992
2023-03-09 00:00:00-05:00,167250000
2023-03-18 00:00:00-04:00,169996992
2023-03-22 00:00:00-04:00,167250000
