,0
2022-02-12 00:00:00-05:00,167222000
2022-02-26 00:00:00-05:00,164412000
2022-04-30 00:00:00-04:00,164678000
2022-05-04 00:00:00-04:00,164678000
2022-06-29 00:00:00-04:00,168160000
2022-06-29 00:00:00-04:00,164678000
2022-08-06 00:00:00-04:00,163742000
2022-08-20 00:00:00-04:00,163742000
2022-08-20 00:00:00-04:00,168126000
2022-08-30 00:00:00-04:00,491225984
2022-08-31 00:00:00-04:00,491225984
2022-09-01 00:00:00-04:00,491225984
2022-11-06 00:00:00-04:00,491280000
2023-03-01 00:00:00-05:00,489003008
2023-03-18 00:00:00-04:00,492247008
2023-03-21 00:00:00-04:00,489003008
