,0
2022-01-04 00:00:00-05:00,593310016
2022-01-05 00:00:00-05:00,594025024
2022-01-06 00:00:00-05:00,594265984
2022-01-07 00:00:00-05:00,594382976
2022-01-08 00:00:00-05:00,540726016
2022-01-10 00:00:00-05:00,540726016
2022-01-11 00:00:00-05:00,540812032
2022-01-12 00:00:00-05:00,541214976
2022-01-13 00:00:00-05:00,541134016
2022-01-14 00:00:00-05:00,540971008
2022-01-15 00:00:00-05:00,540918976
2022-01-18 00:00:00-05:00,540918976
2022-01-20 00:00:00-05:00,540398016
2022-01-21 00:00:00-05:00,540761984
2022-01-21 00:00:00-05:00,540000000
2022-01-23 00:00:00-05:00,540451968
2022-01-25 00:00:00-05:00,540270016
2022-01-26 00:00:00-05:00,539644032
2022-01-27 00:00:00-05:00,540312000
2022-01-28 00:00:00-05:00,538558976
2022-01-29 00:00:00-05:00,537128000
2022-01-31 00:00:00-05:00,537128000
2022-02-02 00:00:00-05:00,537057984
2022-02-03 00:00:00-05:00,537473024
2022-02-05 00:00:00-05:00,537747008
2022-02-07 00:00:00-05:00,538707008
2022-02-08 00:00:00-05:00,592451008
2022-02-09 00:00:00-05:00,593091968
2022-02-10 00:00:00-05:00,593080000
2022-02-11 00:00:00-05:00,592865984
2022-02-12 00:00:00-05:00,592161024
2022-02-15 00:00:00-05:00,592208000
2022-02-16 00:00:00-05:00,591673024
2022-02-17 00:00:00-05:00,591704000
2022-02-18 00:00:00-05:00,591972992
2022-02-19 00:00:00-05:00,591328000
2022-02-23 00:00:00-05:00,590627008
2022-02-24 00:00:00-05:00,591585984
2022-02-25 00:00:00-05:00,590460992
2022-02-26 00:00:00-05:00,589891968
2022-03-01 00:00:00-05:00,589500032
2022-03-02 00:00:00-05:00,588430976
2022-03-04 00:00:00-05:00,588430976
2022-03-05 00:00:00-05:00,589737024
2022-03-08 00:00:00-05:00,590510976
2022-03-09 00:00:00-05:00,590408000
2022-03-12 00:00:00-05:00,592419968
2022-03-15 00:00:00-04:00,588209984
2022-03-16 00:00:00-04:00,588489024
2022-03-18 00:00:00-04:00,553841024
2022-03-20 00:00:00-04:00,590294976
2022-03-23 00:00:00-04:00,583758016
2022-03-24 00:00:00-04:00,590380032
2022-03-25 00:00:00-04:00,590033984
2022-03-28 00:00:00-04:00,590526976
2022-03-29 00:00:00-04:00,590304000
2022-03-31 00:00:00-04:00,594300032
2022-03-31 00:00:00-04:00,589633984
2022-04-01 00:00:00-04:00,590364992
2022-04-02 00:00:00-04:00,590489024
2022-04-05 00:00:00-04:00,589993024
2022-04-06 00:00:00-04:00,590097984
2022-04-07 00:00:00-04:00,590328000
2022-04-08 00:00:00-04:00,590480000
2022-04-09 00:00:00-04:00,590102976
2022-04-12 00:00:00-04:00,590513024
2022-04-13 00:00:00-04:00,590483968
2022-04-14 00:00:00-04:00,590636032
2022-04-15 00:00:00-04:00,589419008
2022-04-19 00:00:00-04:00,589230976
2022-04-20 00:00:00-04:00,590161984
2022-04-21 00:00:00-04:00,589417024
2022-04-23 00:00:00-04:00,588894016
2022-04-26 00:00:00-04:00,588891008
2022-04-27 00:00:00-04:00,588891008
2022-04-28 00:00:00-04:00,588281024
2022-04-29 00:00:00-04:00,587009984
2022-04-30 00:00:00-04:00,587022976
2022-05-04 00:00:00-04:00,587696000
2022-05-05 00:00:00-04:00,585862976
2022-05-06 00:00:00-04:00,585123968
2022-05-07 00:00:00-04:00,584217024
2022-05-10 00:00:00-04:00,586755968
2022-05-11 00:00:00-04:00,586302976
2022-05-11 00:00:00-04:00,584417984
2022-05-12 00:00:00-04:00,587025984
2022-05-13 00:00:00-04:00,588238976
2022-05-15 00:00:00-04:00,586958016
2022-05-17 00:00:00-04:00,588203008
2022-05-19 00:00:00-04:00,588675968
2022-05-20 00:00:00-04:00,588897984
2022-05-21 00:00:00-04:00,588878016
2022-05-24 00:00:00-04:00,589705024
2022-05-26 00:00:00-04:00,589254016
2022-05-29 00:00:00-04:00,587638016
2022-06-01 00:00:00-04:00,587782016
2022-06-02 00:00:00-04:00,587689984
2022-06-03 00:00:00-04:00,589195008
2022-06-04 00:00:00-04:00,588838016
2022-06-08 00:00:00-04:00,588772992
2022-06-09 00:00:00-04:00,589180032
2022-06-11 00:00:00-04:00,588598976
2022-06-14 00:00:00-04:00,588510976
2022-06-15 00:00:00-04:00,588913024
2022-06-16 00:00:00-04:00,589041984
2022-06-18 00:00:00-04:00,588668992
