,0
2022-02-12 00:00:00-05:00,505664000
2022-02-28 00:00:00-05:00,502078016
2022-03-20 00:00:00-04:00,509217984
2022-03-23 00:00:00-04:00,502078016
2022-05-04 00:00:00-04:00,504643008
2022-05-05 00:00:00-04:00,499259008
2022-05-17 00:00:00-04:00,503072992
2022-05-19 00:00:00-04:00,499259008
2022-05-27 00:00:00-04:00,500360992
2022-05-28 00:00:00-04:00,499259008
2022-06-14 00:00:00-04:00,518011008
2022-06-15 00:00:00-04:00,499259008
2022-06-30 00:00:00-04:00,499417984
2022-07-01 00:00:00-04:00,499259008
2022-07-06 00:00:00-04:00,499259008
2022-07-06 00:00:00-04:00,516097984
2022-07-12 00:00:00-04:00,499419008
2022-07-12 00:00:00-04:00,499259008
2022-07-15 00:00:00-04:00,504720000
2022-07-17 00:00:00-04:00,499259008
2022-08-05 00:00:00-04:00,498860000
2022-09-02 00:00:00-04:00,498860000
2022-09-17 00:00:00-04:00,499687008
2022-09-17 00:00:00-04:00,498860000
2022-10-21 00:00:00-04:00,508416000
2022-10-22 00:00:00-04:00,498860000
2022-11-02 00:00:00-04:00,498950016
2023-02-23 00:00:00-05:00,498769984
2023-03-30 00:00:00-04:00,510931008
