,0
2022-02-12 00:00:00-05:00,584400000
2022-02-18 00:00:00-05:00,584800000
2022-02-22 00:00:00-05:00,584800000
2022-03-02 00:00:00-05:00,584849024
2022-03-19 00:00:00-04:00,584899968
2022-03-30 00:00:00-04:00,584878976
2022-04-19 00:00:00-04:00,584878976
2022-04-19 00:00:00-04:00,598054976
2022-05-05 00:00:00-04:00,584878016
2022-05-06 00:00:00-04:00,584878976
2022-05-20 00:00:00-04:00,584899968
2022-05-23 00:00:00-04:00,584899968
2022-06-03 00:00:00-04:00,584899968
2022-06-03 00:00:00-04:00,589393024
2022-06-18 00:00:00-04:00,588369984
2022-06-19 00:00:00-04:00,584899968
2022-07-27 00:00:00-04:00,584899968
2022-07-27 00:00:00-04:00,585160000
2022-07-29 00:00:00-04:00,590433024
2022-07-30 00:00:00-04:00,584899968
2022-08-05 00:00:00-04:00,584915008
2022-08-22 00:00:00-04:00,584800000
2022-09-02 00:00:00-04:00,584800000
2022-09-16 00:00:00-04:00,585100032
2022-09-17 00:00:00-04:00,585100032
2022-09-20 00:00:00-04:00,574067968
2022-09-21 00:00:00-04:00,585100032
2022-10-21 00:00:00-04:00,596619008
2022-10-23 00:00:00-04:00,585100032
2022-10-26 00:00:00-04:00,590609984
2022-10-27 00:00:00-04:00,585100032
2022-11-05 00:00:00-04:00,585070016
2022-11-20 00:00:00-05:00,585000000
2023-01-27 00:00:00-05:00,584899968
2023-02-17 00:00:00-05:00,585299968
2023-03-01 00:00:00-05:00,585340032
2023-03-16 00:00:00-04:00,585400000
2023-03-18 00:00:00-04:00,613528000
2023-03-22 00:00:00-04:00,585400000
2023-03-24 00:00:00-04:00,585340032
