,0
2022-02-12 00:00:00-05:00,94990800
2022-02-28 00:00:00-05:00,93533800
2022-03-29 00:00:00-04:00,93703800
2022-05-10 00:00:00-04:00,93701200
2022-05-11 00:00:00-04:00,93701200
2022-05-19 00:00:00-04:00,93701200
2022-05-24 00:00:00-04:00,93701200
2022-05-26 00:00:00-04:00,93701200
2022-05-28 00:00:00-04:00,93701200
2022-06-01 00:00:00-04:00,93701200
2022-06-02 00:00:00-04:00,93701200
2022-06-12 00:00:00-04:00,93701200
2022-06-15 00:00:00-04:00,93701200
2022-06-29 00:00:00-04:00,93701200
2022-07-06 00:00:00-04:00,93701200
2022-07-09 00:00:00-04:00,93701200
2022-07-12 00:00:00-04:00,93701200
2022-07-13 00:00:00-04:00,93701200
2022-07-15 00:00:00-04:00,93701200
2022-07-20 00:00:00-04:00,93701200
2022-07-22 00:00:00-04:00,93701200
2022-07-23 00:00:00-04:00,93701200
2022-07-27 00:00:00-04:00,93701200
2022-07-29 00:00:00-04:00,94259400
2022-07-30 00:00:00-04:00,93701200
2022-08-02 00:00:00-04:00,93701200
2022-08-05 00:00:00-04:00,94660400
2022-08-07 00:00:00-04:00,93739904
2022-08-10 00:00:00-04:00,93739904
2022-09-14 00:00:00-04:00,93739904
2022-10-21 00:00:00-04:00,95010600
2022-10-23 00:00:00-04:00,93739904
2022-11-09 00:00:00-05:00,92534496
2023-02-25 00:00:00-05:00,89693400
2023-03-08 00:00:00-05:00,90013600
2023-03-09 00:00:00-05:00,89693400
2023-03-18 00:00:00-04:00,90996704
2023-03-22 00:00:00-04:00,89693400
2023-03-25 00:00:00-04:00,89883600
2023-03-28 00:00:00-04:00,90495296
2023-03-28 00:00:00-04:00,89883600
2023-03-30 00:00:00-04:00,91320200
