,0
2022-02-04 00:00:00-05:00,68967296
2022-02-04 00:00:00-05:00,72138400
2022-02-12 00:00:00-05:00,68967296
2022-02-26 00:00:00-05:00,69217600
2022-02-28 00:00:00-05:00,69217600
2022-03-01 00:00:00-05:00,69217600
2022-03-03 00:00:00-05:00,69217600
2022-03-05 00:00:00-05:00,69217600
2022-03-06 00:00:00-05:00,69217600
2022-03-15 00:00:00-04:00,72907696
2022-03-16 00:00:00-04:00,71520896
2022-03-17 00:00:00-04:00,69217600
2022-03-28 00:00:00-04:00,69217600
2022-03-30 00:00:00-04:00,69217600
2022-04-01 00:00:00-04:00,69217600
2022-04-02 00:00:00-04:00,69217600
2022-04-05 00:00:00-04:00,69217600
2022-04-06 00:00:00-04:00,69217600
2022-04-07 00:00:00-04:00,69217600
2022-04-08 00:00:00-04:00,69217600
2022-04-10 00:00:00-04:00,69217600
2022-04-14 00:00:00-04:00,69320400
2022-04-15 00:00:00-04:00,69788704
2022-04-21 00:00:00-04:00,69320400
2022-05-04 00:00:00-04:00,71729104
2022-05-05 00:00:00-04:00,69320400
2022-05-10 00:00:00-04:00,69339600
2022-06-16 00:00:00-04:00,69767296
2022-06-16 00:00:00-04:00,69339600
2022-08-07 00:00:00-04:00,69403600
2022-08-09 00:00:00-04:00,69403600
2022-08-23 00:00:00-04:00,70869104
2022-08-24 00:00:00-04:00,69403600
2022-09-14 00:00:00-04:00,69403600
2022-10-04 00:00:00-04:00,68340096
2022-10-07 00:00:00-04:00,69403600
2022-10-21 00:00:00-04:00,70580896
2022-10-22 00:00:00-04:00,69403600
2022-11-09 00:00:00-05:00,69448704
2023-02-25 00:00:00-05:00,69542304
2023-03-08 00:00:00-05:00,70525200
2023-03-09 00:00:00-05:00,69542304
2023-03-24 00:00:00-04:00,70361600
2023-03-25 00:00:00-04:00,69542304
2023-03-30 00:00:00-04:00,69901904
