,0
2022-02-12 00:00:00-05:00,378000000
2022-02-22 00:00:00-05:00,376000000
2022-03-20 00:00:00-04:00,376555008
2022-03-23 00:00:00-04:00,376000000
2022-03-28 00:00:00-04:00,376425984
2022-05-06 00:00:00-04:00,375700000
2022-05-10 00:00:00-04:00,375000000
2022-05-17 00:00:00-04:00,375593984
2022-05-19 00:00:00-04:00,375000000
2022-06-01 00:00:00-04:00,375071008
2022-06-02 00:00:00-04:00,375000000
2022-06-23 00:00:00-04:00,375000000
2022-06-23 00:00:00-04:00,377937984
2022-07-06 00:00:00-04:00,383220992
2022-07-07 00:00:00-04:00,375000000
2022-07-09 00:00:00-04:00,376128992
2022-07-10 00:00:00-04:00,375000000
2022-07-29 00:00:00-04:00,376767008
2022-07-30 00:00:00-04:00,375000000
2022-08-04 00:00:00-04:00,379571008
2022-08-07 00:00:00-04:00,372600000
2022-08-10 00:00:00-04:00,372000000
2022-08-23 00:00:00-04:00,388102016
2022-08-24 00:00:00-04:00,372000000
2022-09-01 00:00:00-04:00,372000000
2022-09-03 00:00:00-04:00,372000000
2022-09-03 00:00:00-04:00,372313984
2022-09-10 00:00:00-04:00,366220992
2022-09-12 00:00:00-04:00,372000000
2022-10-04 00:00:00-04:00,357776992
2022-10-07 00:00:00-04:00,372000000
2022-10-21 00:00:00-04:00,376767008
2022-10-22 00:00:00-04:00,372000000
2022-11-05 00:00:00-04:00,369100000
2022-11-09 00:00:00-05:00,368000000
2023-02-09 00:00:00-05:00,366000000
2023-03-07 00:00:00-05:00,367931008
2023-03-07 00:00:00-05:00,366000000
2023-03-11 00:00:00-05:00,375014016
2023-03-11 00:00:00-05:00,366000000
2023-03-18 00:00:00-04:00,385561984
2023-03-21 00:00:00-04:00,366000000
