,0
2022-02-08 00:00:00-05:00,108539000
2022-02-11 00:00:00-05:00,108539000
2022-03-16 00:00:00-04:00,106716000
2022-03-19 00:00:00-04:00,108427000
2022-03-22 00:00:00-04:00,108539000
2022-04-24 00:00:00-04:00,108539000
2022-04-25 00:00:00-04:00,109846000
2022-05-04 00:00:00-04:00,108438000
2022-05-05 00:00:00-04:00,109846000
2022-05-17 00:00:00-04:00,108255000
2022-05-19 00:00:00-04:00,109846000
2022-05-27 00:00:00-04:00,111042000
2022-05-29 00:00:00-04:00,109846000
2022-06-14 00:00:00-04:00,114348000
2022-06-15 00:00:00-04:00,109846000
2022-07-09 00:00:00-04:00,108028000
2022-07-10 00:00:00-04:00,109846000
2022-07-28 00:00:00-04:00,108847000
2022-07-29 00:00:00-04:00,108811000
2022-07-30 00:00:00-04:00,109846000
2022-08-04 00:00:00-04:00,108028000
2022-08-07 00:00:00-04:00,109008000
2022-08-16 00:00:00-04:00,107190000
2022-08-17 00:00:00-04:00,109008000
2022-09-02 00:00:00-04:00,109008000
2022-10-04 00:00:00-04:00,102149000
2022-10-06 00:00:00-04:00,109008000
2022-10-21 00:00:00-04:00,109546000
2022-10-23 00:00:00-04:00,109008000
2022-10-26 00:00:00-04:00,107523000
2022-10-27 00:00:00-04:00,109008000
2022-11-06 00:00:00-04:00,108902000
2022-11-09 00:00:00-05:00,108902000
2023-01-04 00:00:00-05:00,109056000
2023-01-05 00:00:00-05:00,108902000
2023-02-08 00:00:00-05:00,109326000
2023-02-15 00:00:00-05:00,109326000
2023-02-16 00:00:00-05:00,109326000
2023-02-19 00:00:00-05:00,109326000
2023-02-28 00:00:00-05:00,109326000
2023-03-04 00:00:00-05:00,107867000
2023-03-05 00:00:00-05:00,109326000
2023-03-08 00:00:00-05:00,110248000
2023-03-10 00:00:00-05:00,109326000
2023-03-14 00:00:00-04:00,109326000
2023-03-15 00:00:00-04:00,109326000
2023-03-18 00:00:00-04:00,109326000
2023-03-23 00:00:00-04:00,109326000
2023-03-24 00:00:00-04:00,109326000
