,0
2022-02-04 00:00:00-05:00,54132400
2022-02-04 00:00:00-05:00,52519500
2022-02-11 00:00:00-05:00,52519500
2022-02-18 00:00:00-05:00,52815400
2022-02-23 00:00:00-05:00,52815400
2022-02-24 00:00:00-05:00,52818700
2022-03-04 00:00:00-05:00,55030700
2022-03-05 00:00:00-05:00,52818700
2022-03-15 00:00:00-04:00,56254800
2022-03-16 00:00:00-04:00,53183300
2022-03-18 00:00:00-04:00,53377700
2022-03-19 00:00:00-04:00,52818700
2022-03-24 00:00:00-04:00,55118700
2022-05-03 00:00:00-04:00,55386100
2022-05-05 00:00:00-04:00,55386100
2022-05-06 00:00:00-04:00,55387300
2022-05-10 00:00:00-04:00,55387300
2022-05-12 00:00:00-04:00,59807600
2022-05-14 00:00:00-04:00,55387300
2022-08-05 00:00:00-04:00,55633100
2022-08-06 00:00:00-04:00,55635100
2022-08-09 00:00:00-04:00,57909200
2022-08-10 00:00:00-04:00,55635100
2022-09-13 00:00:00-04:00,55635100
2022-10-12 00:00:00-04:00,56796500
2022-10-13 00:00:00-04:00,55635100
2022-11-08 00:00:00-05:00,57662500
2022-11-10 00:00:00-05:00,55894900
2023-02-16 00:00:00-05:00,56133400
2023-02-26 00:00:00-05:00,56146600
2023-03-18 00:00:00-04:00,60004400
2023-03-21 00:00:00-04:00,56146600
