,0
2022-02-12 00:00:00-05:00,108363000
2022-03-03 00:00:00-05:00,108458000
2022-06-01 00:00:00-04:00,108614000
2022-06-02 00:00:00-04:00,108458000
2022-06-14 00:00:00-04:00,109404000
2022-06-15 00:00:00-04:00,108458000
2022-06-20 00:00:00-04:00,106458000
2022-07-08 00:00:00-04:00,106558000
2022-07-29 00:00:00-04:00,107851000
2022-07-30 00:00:00-04:00,106558000
2022-08-25 00:00:00-04:00,106557000
2022-09-01 00:00:00-04:00,106557000
2022-09-02 00:00:00-04:00,105056000
2022-09-02 00:00:00-04:00,106557000
2022-09-20 00:00:00-04:00,105735000
2022-09-21 00:00:00-04:00,106557000
2022-10-04 00:00:00-04:00,104916000
2022-10-07 00:00:00-04:00,106557000
2022-10-21 00:00:00-04:00,108061000
2022-10-22 00:00:00-04:00,106557000
2022-11-23 00:00:00-05:00,106639000
2022-11-25 00:00:00-05:00,106639000
2023-03-03 00:00:00-05:00,106636000
2023-03-07 00:00:00-05:00,106877000
2023-03-07 00:00:00-05:00,106636000
2023-03-08 00:00:00-05:00,107056000
2023-03-08 00:00:00-05:00,106636000
2023-03-18 00:00:00-04:00,107991000
2023-03-22 00:00:00-04:00,106636000
2023-03-24 00:00:00-04:00,107257000
2023-03-25 00:00:00-04:00,106636000
2023-03-30 00:00:00-04:00,107393000
