,0
2022-02-11 00:00:00-05:00,153438000
2022-02-22 00:00:00-05:00,153099008
2022-03-16 00:00:00-04:00,157491008
2022-03-18 00:00:00-04:00,153099008
2022-05-24 00:00:00-04:00,152970000
2022-08-23 00:00:00-04:00,152911008
2022-09-02 00:00:00-04:00,152911008
2022-10-26 00:00:00-04:00,156516992
2022-10-27 00:00:00-04:00,152911008
2022-12-05 00:00:00-05:00,152375008
2022-12-10 00:00:00-05:00,154648000
2022-12-11 00:00:00-05:00,152375008
2022-12-14 00:00:00-05:00,152416992
2023-02-19 00:00:00-05:00,152380000
2023-02-22 00:00:00-05:00,152302000
2023-03-18 00:00:00-04:00,152903008
2023-03-22 00:00:00-04:00,152302000
2023-03-30 00:00:00-04:00,154431008
