,0
2022-02-11 00:00:00-05:00,198451008
2022-03-03 00:00:00-05:00,191299008
2022-03-23 00:00:00-04:00,189518000
2022-05-04 00:00:00-04:00,188690000
2022-07-06 00:00:00-04:00,188690000
2022-07-06 00:00:00-04:00,193751008
2022-07-29 00:00:00-04:00,192162000
2022-07-30 00:00:00-04:00,188690000
2022-08-05 00:00:00-04:00,182611008
2022-08-16 00:00:00-04:00,184928000
2022-08-17 00:00:00-04:00,182611008
2022-09-02 00:00:00-04:00,182611008
2022-10-28 00:00:00-04:00,175571008
2022-12-10 00:00:00-05:00,178211008
2022-12-11 00:00:00-05:00,175571008
2023-01-04 00:00:00-05:00,180239008
2023-01-05 00:00:00-05:00,175571008
2023-03-03 00:00:00-05:00,171578000
2023-03-30 00:00:00-04:00,173510000
