,0
2022-02-02 00:00:00-05:00,526800000
2022-02-04 00:00:00-05:00,532411008
2022-02-05 00:00:00-05:00,526800000
2022-02-11 00:00:00-05:00,526800000
2022-02-14 00:00:00-05:00,521272000
2022-03-04 00:00:00-05:00,532932992
2022-03-05 00:00:00-05:00,521272000
2022-03-31 00:00:00-04:00,536299008
2022-03-31 00:00:00-04:00,521272000
2022-04-07 00:00:00-04:00,506223008
2022-04-21 00:00:00-04:00,506200000
2022-04-26 00:00:00-04:00,501488992
2022-05-11 00:00:00-04:00,513553984
2022-05-11 00:00:00-04:00,501488992
2022-05-19 00:00:00-04:00,536660000
2022-05-20 00:00:00-04:00,501488992
2022-07-20 00:00:00-04:00,487800000
2022-07-25 00:00:00-04:00,481759008
2022-08-05 00:00:00-04:00,481759008
2022-08-07 00:00:00-04:00,481759008
2022-09-14 00:00:00-04:00,481759008
2022-10-12 00:00:00-04:00,483160992
2022-10-14 00:00:00-04:00,481759008
2022-10-21 00:00:00-04:00,482216992
2022-10-23 00:00:00-04:00,481759008
2022-10-26 00:00:00-04:00,458900000
2022-10-27 00:00:00-04:00,450540992
2022-11-04 00:00:00-04:00,462724992
2022-11-04 00:00:00-04:00,450540992
2023-01-04 00:00:00-05:00,457079008
2023-01-05 00:00:00-05:00,450540992
2023-01-24 00:00:00-05:00,438200000
2023-02-04 00:00:00-05:00,446952000
2023-02-05 00:00:00-05:00,438200000
2023-02-12 00:00:00-05:00,437035008
2023-03-07 00:00:00-05:00,446484992
2023-03-08 00:00:00-05:00,437035008
2023-03-18 00:00:00-04:00,447312992
2023-03-22 00:00:00-04:00,437035008
