,0
2022-02-01 00:00:00-05:00,55446400
2022-02-10 00:00:00-05:00,55462100
2022-02-11 00:00:00-05:00,55462100
2022-03-04 00:00:00-05:00,57243300
2022-03-05 00:00:00-05:00,55462100
2022-03-31 00:00:00-04:00,55462100
2022-03-31 00:00:00-04:00,56450400
2022-05-13 00:00:00-04:00,54585000
2022-05-19 00:00:00-04:00,56655400
2022-05-20 00:00:00-04:00,54585000
2022-06-03 00:00:00-04:00,54605600
2022-06-04 00:00:00-04:00,54605600
2022-06-11 00:00:00-04:00,54605600
2022-06-14 00:00:00-04:00,54605600
2022-06-15 00:00:00-04:00,54605600
2022-06-17 00:00:00-04:00,54605600
2022-06-22 00:00:00-04:00,54605600
2022-07-01 00:00:00-04:00,54605600
2022-07-06 00:00:00-04:00,54605600
2022-07-13 00:00:00-04:00,54605600
2022-07-15 00:00:00-04:00,54605600
2022-07-19 00:00:00-04:00,54605600
2022-07-22 00:00:00-04:00,54605600
2022-07-27 00:00:00-04:00,54605600
2022-07-29 00:00:00-04:00,54605600
2022-07-30 00:00:00-04:00,54605600
2022-08-02 00:00:00-04:00,54605600
2022-08-03 00:00:00-04:00,54605600
2022-08-05 00:00:00-04:00,54605600
2022-08-10 00:00:00-04:00,54605600
2022-08-12 00:00:00-04:00,54234700
2022-09-01 00:00:00-04:00,54234700
2022-09-02 00:00:00-04:00,53783200
2022-09-02 00:00:00-04:00,54234700
2022-10-21 00:00:00-04:00,55305000
2022-10-23 00:00:00-04:00,54234700
2022-11-12 00:00:00-05:00,54374600
2023-01-04 00:00:00-05:00,54711700
2023-01-05 00:00:00-05:00,54374600
2023-01-29 00:00:00-05:00,54535400
2023-02-09 00:00:00-05:00,54598100
2023-03-18 00:00:00-04:00,56284400
2023-03-22 00:00:00-04:00,54598100
2023-03-30 00:00:00-04:00,55543200
