,0
2022-02-11 00:00:00-05:00,46655200
2022-03-01 00:00:00-05:00,47194800
2022-03-14 00:00:00-04:00,46765800
2022-05-04 00:00:00-04:00,47938400
2022-05-06 00:00:00-04:00,46842900
2022-05-10 00:00:00-04:00,47843100
2022-05-11 00:00:00-04:00,46842900
2022-07-26 00:00:00-04:00,46951800
2022-07-27 00:00:00-04:00,46842900
2022-08-03 00:00:00-04:00,46864600
2022-08-05 00:00:00-04:00,47004700
2022-08-06 00:00:00-04:00,46864600
2022-08-20 00:00:00-04:00,47616400
2022-08-20 00:00:00-04:00,46864600
2022-09-14 00:00:00-04:00,46864600
2022-10-21 00:00:00-04:00,47968500
2022-10-23 00:00:00-04:00,46864600
2022-11-01 00:00:00-04:00,47201500
2022-11-02 00:00:00-04:00,46864600
2022-11-06 00:00:00-04:00,46871100
2023-01-31 00:00:00-05:00,47258300
2023-02-02 00:00:00-05:00,46871100
2023-02-28 00:00:00-05:00,46995300
2023-03-02 00:00:00-05:00,46995300
2023-03-11 00:00:00-05:00,47002800
2023-03-18 00:00:00-04:00,47562400
2023-03-22 00:00:00-04:00,47002800
2023-03-30 00:00:00-04:00,47553000
