,0
2022-02-11 00:00:00-05:00,111078000
2022-02-12 00:00:00-05:00,111078000
2022-02-14 00:00:00-05:00,110519000
2022-02-22 00:00:00-05:00,110167000
2022-04-14 00:00:00-04:00,109745000
2022-05-04 00:00:00-04:00,109545000
2022-06-03 00:00:00-04:00,113289000
2022-06-04 00:00:00-04:00,109545000
2022-07-29 00:00:00-04:00,110239000
2022-07-30 00:00:00-04:00,109545000
2022-08-01 00:00:00-04:00,107283000
2022-09-02 00:00:00-04:00,107283000
2022-10-21 00:00:00-04:00,109343000
2022-10-23 00:00:00-04:00,107283000
2022-10-30 00:00:00-04:00,106016000
2023-02-11 00:00:00-05:00,105300000
2023-02-22 00:00:00-05:00,104879000
2023-03-08 00:00:00-05:00,105875000
2023-03-09 00:00:00-05:00,104879000
2023-03-18 00:00:00-04:00,105346000
2023-03-22 00:00:00-04:00,104879000
