,0
2022-01-28 00:00:00-05:00,254500000
2022-02-11 00:00:00-05:00,254576992
2022-03-20 00:00:00-04:00,255516992
2022-03-22 00:00:00-04:00,254576992
2022-04-09 00:00:00-04:00,255534000
2022-04-11 00:00:00-04:00,255534000
2022-05-10 00:00:00-04:00,255756000
2022-05-27 00:00:00-04:00,256884992
2022-05-29 00:00:00-04:00,255756000
2022-06-03 00:00:00-04:00,256364000
2022-06-04 00:00:00-04:00,256335008
2022-06-04 00:00:00-04:00,255756000
2022-08-06 00:00:00-04:00,256000000
2022-08-10 00:00:00-04:00,256459008
2022-09-02 00:00:00-04:00,256459008
2022-10-21 00:00:00-04:00,258103008
2022-10-23 00:00:00-04:00,256459008
2022-11-01 00:00:00-04:00,256691008
2022-11-25 00:00:00-05:00,261011008
2022-11-27 00:00:00-05:00,256691008
2023-02-09 00:00:00-05:00,257000000
2023-02-11 00:00:00-05:00,257091008
2023-02-14 00:00:00-05:00,257091008
2023-03-04 00:00:00-05:00,257312992
2023-03-05 00:00:00-05:00,257091008
2023-03-08 00:00:00-05:00,261612992
2023-03-09 00:00:00-05:00,257091008
