,0
2022-01-29 00:00:00-05:00,59000000
2022-02-11 00:00:00-05:00,59000000
2022-02-14 00:00:00-05:00,58611200
2022-03-08 00:00:00-05:00,58462500
2022-03-31 00:00:00-04:00,58462500
2022-03-31 00:00:00-04:00,60663900
2022-04-27 00:00:00-04:00,57000000
2022-04-28 00:00:00-04:00,56202400
2022-05-06 00:00:00-04:00,56202400
2022-05-10 00:00:00-04:00,56202400
2022-05-11 00:00:00-04:00,56202400
2022-05-11 00:00:00-04:00,57617900
2022-05-18 00:00:00-04:00,56202400
2022-05-19 00:00:00-04:00,60164300
2022-05-20 00:00:00-04:00,56202400
2022-05-21 00:00:00-04:00,56202400
2022-05-24 00:00:00-04:00,56202400
2022-05-25 00:00:00-04:00,56202400
2022-05-26 00:00:00-04:00,56202400
2022-05-27 00:00:00-04:00,56202400
2022-06-01 00:00:00-04:00,56202400
2022-06-04 00:00:00-04:00,56202400
2022-06-09 00:00:00-04:00,56202400
2022-06-15 00:00:00-04:00,56202400
2022-06-17 00:00:00-04:00,56202400
2022-06-22 00:00:00-04:00,56202400
2022-06-23 00:00:00-04:00,56202400
2022-06-24 00:00:00-04:00,56202400
2022-06-29 00:00:00-04:00,56202400
2022-06-29 00:00:00-04:00,57197100
2022-07-09 00:00:00-04:00,56202400
2022-07-12 00:00:00-04:00,56202400
2022-07-13 00:00:00-04:00,56202400
2022-07-17 00:00:00-04:00,56202400
2022-07-22 00:00:00-04:00,56202400
2022-07-23 00:00:00-04:00,56202400
2022-07-26 00:00:00-04:00,57267400
2022-07-27 00:00:00-04:00,54508100
2022-08-20 00:00:00-04:00,55956300
2022-08-21 00:00:00-04:00,54508100
2022-09-01 00:00:00-04:00,54508100
2022-09-02 00:00:00-04:00,54508100
2022-09-02 00:00:00-04:00,55010400
2022-09-10 00:00:00-04:00,53000800
2022-09-12 00:00:00-04:00,54508100
2022-09-17 00:00:00-04:00,54819900
2022-09-17 00:00:00-04:00,54508100
2022-10-21 00:00:00-04:00,57185100
2022-10-23 00:00:00-04:00,54478400
2022-10-26 00:00:00-04:00,54478400
2022-10-27 00:00:00-04:00,54478400
2022-10-30 00:00:00-04:00,54478400
2022-11-01 00:00:00-04:00,54478400
2022-11-11 00:00:00-05:00,54478400
2022-11-16 00:00:00-05:00,54478400
2022-11-18 00:00:00-05:00,54478400
2022-11-19 00:00:00-05:00,54478400
2022-11-30 00:00:00-05:00,54478400
2022-12-10 00:00:00-05:00,54478400
2022-12-13 00:00:00-05:00,54478400
2022-12-20 00:00:00-05:00,54478400
2022-12-21 00:00:00-05:00,54478400
2022-12-23 00:00:00-05:00,54478400
2022-12-24 00:00:00-05:00,54478400
2022-12-31 00:00:00-05:00,54478400
2023-01-04 00:00:00-05:00,54478400
2023-01-13 00:00:00-05:00,54478400
2023-01-21 00:00:00-05:00,54478400
2023-01-27 00:00:00-05:00,54478400
2023-01-29 00:00:00-05:00,54478400
2023-02-09 00:00:00-05:00,54478400
2023-02-10 00:00:00-05:00,54478400
2023-02-12 00:00:00-05:00,54502500
2023-03-07 00:00:00-05:00,55098200
2023-03-07 00:00:00-05:00,54502500
2023-03-10 00:00:00-05:00,54510500
2023-03-18 00:00:00-04:00,54939200
2023-03-21 00:00:00-04:00,54510500
2023-03-30 00:00:00-04:00,55248600
