,0
2022-01-29 00:00:00-05:00,176780992
2022-01-31 00:00:00-05:00,176780992
2022-02-11 00:00:00-05:00,176780992
2022-02-26 00:00:00-05:00,176791008
2022-02-28 00:00:00-05:00,176791008
2022-03-04 00:00:00-05:00,177123008
2022-03-05 00:00:00-05:00,176791008
2022-03-24 00:00:00-04:00,265186000
2022-04-27 00:00:00-04:00,267590000
2022-04-28 00:00:00-04:00,265186000
2022-05-04 00:00:00-04:00,276779008
2022-05-06 00:00:00-04:00,265192992
2022-05-11 00:00:00-04:00,265192992
2022-05-11 00:00:00-04:00,268711008
2022-05-19 00:00:00-04:00,269761984
2022-05-20 00:00:00-04:00,265192992
2022-07-23 00:00:00-04:00,265272992
2022-07-26 00:00:00-04:00,265272992
2022-08-05 00:00:00-04:00,269435008
2022-08-06 00:00:00-04:00,265272992
2022-09-14 00:00:00-04:00,265272992
2022-10-21 00:00:00-04:00,269804000
2022-10-23 00:00:00-04:00,265272992
2022-10-26 00:00:00-04:00,265802000
2022-11-09 00:00:00-05:00,265476000
2023-01-31 00:00:00-05:00,264546000
2023-03-02 00:00:00-05:00,263446000
2023-03-18 00:00:00-04:00,271695008
2023-03-21 00:00:00-04:00,263446000
2023-03-30 00:00:00-04:00,265848000
