,0
2022-02-10 00:00:00-05:00,263214000
2022-02-11 00:00:00-05:00,263214000
2022-03-19 00:00:00-04:00,264542000
2022-03-22 00:00:00-04:00,263214000
2022-04-01 00:00:00-04:00,264948992
2022-04-02 00:00:00-04:00,263214000
2022-05-10 00:00:00-04:00,254852000
2022-08-03 00:00:00-04:00,257292000
2022-08-05 00:00:00-04:00,265320992
2022-08-06 00:00:00-04:00,254852000
2022-08-10 00:00:00-04:00,254298000
2022-08-16 00:00:00-04:00,254298000
2022-08-16 00:00:00-04:00,257604000
2022-08-25 00:00:00-04:00,255842000
2022-08-26 00:00:00-04:00,254298000
2022-09-01 00:00:00-04:00,254298000
2022-09-02 00:00:00-04:00,254298000
2022-09-02 00:00:00-04:00,259411008
2022-11-22 00:00:00-05:00,254464000
2022-11-23 00:00:00-05:00,254464000
2022-12-03 00:00:00-05:00,255135008
2022-12-05 00:00:00-05:00,254464000
2022-12-18 00:00:00-05:00,254518000
2023-02-07 00:00:00-05:00,254652000
2023-03-07 00:00:00-05:00,262944000
2023-03-07 00:00:00-05:00,254652000
2023-03-16 00:00:00-04:00,262144000
2023-03-16 00:00:00-04:00,254652000
2023-03-30 00:00:00-04:00,260428992
