,0
2022-01-30 00:00:00-05:00,544006016
2022-01-31 00:00:00-05:00,544006016
2022-02-12 00:00:00-05:00,544006016
2022-02-26 00:00:00-05:00,544214016
2022-02-28 00:00:00-05:00,544214016
2022-03-16 00:00:00-04:00,545299008
2022-03-17 00:00:00-04:00,553014976
2022-03-19 00:00:00-04:00,556713024
2022-03-22 00:00:00-04:00,544214016
2022-04-07 00:00:00-04:00,544529984
2022-04-30 00:00:00-04:00,544652992
2022-05-04 00:00:00-04:00,548731008
2022-05-06 00:00:00-04:00,544652992
2022-05-27 00:00:00-04:00,550030016
2022-05-28 00:00:00-04:00,544652992
2022-06-01 00:00:00-04:00,551883008
2022-06-02 00:00:00-04:00,544652992
2022-06-14 00:00:00-04:00,565518976
2022-06-15 00:00:00-04:00,544652992
2022-07-06 00:00:00-04:00,566006016
2022-07-06 00:00:00-04:00,544652992
2022-07-30 00:00:00-04:00,546990976
2022-08-01 00:00:00-04:00,546990976
2022-09-02 00:00:00-04:00,546990976
2022-10-21 00:00:00-04:00,559584000
2022-10-23 00:00:00-04:00,546990976
2022-10-29 00:00:00-04:00,547249024
2022-11-01 00:00:00-04:00,547249024
2023-01-04 00:00:00-05:00,547561024
2023-01-05 00:00:00-05:00,547249024
2023-02-25 00:00:00-05:00,549846976
2023-03-02 00:00:00-05:00,549846976
2023-03-18 00:00:00-04:00,552723968
2023-03-22 00:00:00-04:00,549846976
2023-03-30 00:00:00-04:00,559432000
